Method,VenclovasLab.csv_F_Voronota_glob_light_score,VenclovasLab.csv_F_Voronota_glob_dark_score,VenclovasLab.csv_F_Voronota_glob_area,VenclovasLab.csv_F_Voronota_glob_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonprotein_area,VenclovasLab.csv_F_Voronota_glob_volume,VenclovasLab.csv_F_Voronota_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_glob_energy,VenclovasLab.csv_F_Voronota_glob_energy_norm,VenclovasLab.csv_F_Voronota_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_area,VenclovasLab.csv_F_Voronota_glob_sas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_energy,VenclovasLab.csv_F_Voronota_glob_sas_energy_norm,VenclovasLab.csv_F_Voronota_glob_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_area,VenclovasLab.csv_F_Voronota_glob_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_energy,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_atoms,VenclovasLab.csv_F_Voronota_iface_atoms_light_score,VenclovasLab.csv_F_Voronota_iface_area,VenclovasLab.csv_F_Voronota_iface_energy,VenclovasLab.csv_F_Voronota_iface_energy_norm,VenclovasLab.csv_F_Voronota_iface_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_shelled_energy,VenclovasLab.csv_F_Voronota_iface_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_area,VenclovasLab.csv_F_Voronota_iface_expanded_energy,VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_split_light_score,VenclovasLab.csv_F_Voronota_split_dark_score,VenclovasLab.csv_F_Voronota_split_area,VenclovasLab.csv_F_Voronota_split_area_per_atom,VenclovasLab.csv_F_Voronota_split_volume,VenclovasLab.csv_F_Voronota_split_volume_per_atom,VenclovasLab.csv_F_Voronota_split_energy,VenclovasLab.csv_F_Voronota_split_energy_norm,VenclovasLab.csv_F_Voronota_split_energy_per_atom,VenclovasLab.csv_F_Voronota_split_sas_area,VenclovasLab.csv_F_Voronota_split_sas_area_per_atom,VenclovasLab.csv_F_Voronota_split_sas_energy,VenclovasLab.csv_F_Voronota_split_sas_energy_norm,VenclovasLab.csv_F_Voronota_split_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_area,VenclovasLab.csv_F_Voronota_split_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_energy,VenclovasLab.csv_F_Voronota_split_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_split_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_light_score,VenclovasLab.csv_F_Voronota_diff_glob_dark_score,VenclovasLab.csv_F_Voronota_diff_glob_area,VenclovasLab.csv_F_Voronota_diff_glob_area_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_energy,VenclovasLab.csv_F_Voronota_diff_glob_energy_norm,VenclovasLab.csv_F_Voronota_diff_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_volume,VenclovasLab.csv_F_Voronota_diff_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_area,VenclovasLab.csv_F_Voronota_diff_sas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_energy,VenclovasLab.csv_F_Voronota_diff_sas_energy_norm,VenclovasLab.csv_F_Voronota_diff_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_area,VenclovasLab.csv_F_Voronota_diff_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_energy,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_per_atom,Oliva_rawdata_v3.csv_F_num_of_contacs,Oliva_rawdata_v3.csv_F_PA,Oliva_rawdata_v3.csv_F_PAr,Oliva_rawdata_v3.csv_F_PAl,Oliva_rawdata_v3.csv_F_CA,Oliva_rawdata_v3.csv_F_CAr,Oliva_rawdata_v3.csv_F_CAl,Oliva_rawdata_v3.csv_F_CP,Oliva_rawdata_v3.csv_F_PP,Oliva_rawdata_v3.csv_F_CC,Oliva_rawdata_v3.csv_F_ArAr,Oliva_rawdata_v3.csv_F_AlAl,Oliva_rawdata_v3.csv_F_AlAr,Oliva_rawdata_v3.csv_F_AAr,Oliva_rawdata_v3.csv_F_AAl,Oliva_rawdata_v3.csv_F_AA,Oliva_rawdata_v3.csv_F_fPA,Oliva_rawdata_v3.csv_F_fPAr,Oliva_rawdata_v3.csv_F_fPAl,Oliva_rawdata_v3.csv_F_fCA,Oliva_rawdata_v3.csv_F_fCAr,Oliva_rawdata_v3.csv_F_fCAl,Oliva_rawdata_v3.csv_F_fCP,Oliva_rawdata_v3.csv_F_fPP,Oliva_rawdata_v3.csv_F_fCC,Oliva_rawdata_v3.csv_F_fArAr,Oliva_rawdata_v3.csv_F_fAlAl,Oliva_rawdata_v3.csv_F_fAlAr,Oliva_rawdata_v3.csv_F_fAAr,Oliva_rawdata_v3.csv_F_fAAl,Oliva_rawdata_v3.csv_F_fAA,Oliva_rawdata_v3.csv_F_BSA_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Polar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Apolar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_naccess,Oliva_rawdata_v3.csv_F_BSA_Polar naccess,Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,FurmanLab_interface_analyzer_disulf.csv_F_I-sc,FurmanLab_interface_analyzer_disulf.csv_F_dG-cross/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dG-separated/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dSASA-polar,FurmanLab_interface_analyzer_disulf.csv_F_fa-dun,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-sol-xover4,FurmanLab_interface_analyzer_disulf.csv_F_sc-value,Kiharalab_feature.csv_F_DFIRE,Kiharalab_feature.csv_F_GOAP,Kiharalab_feature.csv_F_DOVE,Kiharalab_feature.csv_F_GNN-DOVE,Kiharalab_feature.csv_F_ITScore,Kiharalab_feature.csv_F_PhysicsScore,Kiharalab_feature.csv_F_RosettaInterfaceEnergy,Kiharalab_feature.csv_F_VoroMQA,
VenclovasLab.csv_F_Voronota_glob_light_score,1.00000,0.87182,0.01382,-0.59290,-0.05104,0.02825,-0.48839,-0.21968,-0.87016,-0.85380,-0.04010,-0.56369,-0.25649,-0.29894,-0.29085,0.05739,0.37919,-0.17263,-0.76056,-0.83739,-0.01776,0.40659,-0.02176,-0.04525,-0.09783,0.10736,-0.05044,-0.10618,0.09887,-0.09574,-0.09531,-0.22062,0.05773,-0.07021,-0.19940,0.08565,0.87221,0.81048,0.01330,-0.51628,0.02812,-0.43947,-0.21295,-0.74354,-0.75533,-0.04128,-0.48500,-0.23683,-0.27114,-0.28222,0.05839,0.36174,-0.17147,-0.76145,-0.81278,-0.07930,-0.04905,0.02412,0.18342,-0.02469,0.00071,0.09594,0.00668,0.15845,0.02804,0.18918,-0.02991,-0.09385,0.05984,-0.03450,-0.19831,-0.01137,0.28972,0.14319,-0.02825,0.08039,0.08211,-0.04384,0.00921,-0.16911,0.02552,-0.06575,-0.00720,-0.06359,0.10310,-0.06366,0.06374,0.08673,0.03834,0.07381,0.09871,0.11284,-0.03568,0.01216,-0.20968,0.04914,-0.07139,0.01247,-0.06063,0.10741,-0.04385,0.08606,0.09816,0.05278,0.07202,-0.04023,-0.02596,-0.04524,-0.04257,-0.04072,-0.01498,-0.07615,0.09732,-0.09880,-0.11140,-0.11203,-0.01311,-0.09876,-0.12895,-0.00745,0.13667,-0.15584,-0.10216,0.00924,-0.01188,-0.09057,-0.06133,-0.01066,0.98674,
VenclovasLab.csv_F_Voronota_glob_dark_score,0.87182,1.00000,-0.13356,-0.47819,-0.04903,-0.11871,-0.41138,-0.06863,-0.74920,-0.73666,-0.19304,-0.46918,-0.25358,-0.27907,-0.27106,-0.08372,0.34939,-0.01459,-0.62598,-0.70067,-0.09911,0.44719,-0.09374,-0.05242,-0.17226,0.03083,-0.05616,-0.17841,0.02591,-0.20315,-0.06733,-0.25562,0.00056,-0.05630,-0.25692,0.02022,0.73191,0.87789,-0.13484,-0.39673,-0.11926,-0.34592,-0.06301,-0.60971,-0.61917,-0.19686,-0.38151,-0.22533,-0.23113,-0.23558,-0.08162,0.30452,-0.01388,-0.61281,-0.66150,-0.01106,0.05166,0.09429,0.09655,-0.05310,-0.06369,0.01904,0.05882,0.07113,0.10687,0.10406,-0.06672,-0.14696,-0.00878,-0.12734,-0.11713,-0.02020,0.18082,0.06018,-0.08840,0.03674,0.03269,-0.05427,-0.05939,-0.19236,-0.04916,-0.16010,-0.05840,-0.14722,0.06734,-0.02433,0.04251,0.05231,0.06619,0.09008,0.08601,0.07788,0.01331,-0.02646,-0.15792,-0.01205,-0.14789,-0.01114,-0.11675,0.07631,0.06361,0.08406,0.08492,0.13216,0.11057,-0.11303,-0.12811,-0.08835,-0.12056,-0.20249,0.04670,-0.02970,0.17089,-0.15864,-0.17510,-0.17472,-0.10755,-0.26266,-0.21819,-0.17129,0.26355,-0.01476,0.04507,-0.01338,-0.00837,0.05143,0.00468,-0.00149,0.84680,
VenclovasLab.csv_F_Voronota_glob_area,0.01382,-0.13356,1.00000,-0.40195,-0.00046,0.99937,-0.35480,-0.95202,-0.11085,-0.02692,0.99187,-0.43675,-0.13999,-0.04314,-0.03813,0.99466,0.42065,-0.96852,0.13813,0.00501,0.23578,-0.42174,0.20396,0.17253,0.42103,0.46857,0.17689,0.42711,0.46696,0.37397,-0.03187,0.22443,0.41314,0.07980,0.37074,0.45346,0.23028,0.08908,0.99982,-0.50050,0.99932,-0.47317,-0.95144,-0.32774,-0.25484,0.99037,-0.52969,-0.20452,-0.20257,-0.21447,0.99447,0.52982,-0.96877,0.06405,-0.13982,-0.44585,-0.43721,-0.20105,0.51737,0.26138,0.49178,0.45567,-0.12274,0.51072,-0.23062,0.51726,0.30080,0.42751,0.42531,0.27899,-0.51282,0.14828,0.25510,0.46327,0.17768,0.14297,0.03545,0.08613,0.23925,0.13279,0.08792,0.35335,0.19858,0.31792,-0.11673,-0.10460,-0.13564,-0.01376,-0.02128,0.00588,0.02454,-0.04900,-0.07749,0.15714,-0.01653,0.01507,0.33959,0.11310,0.26193,-0.16075,-0.26994,-0.25311,-0.09532,-0.15483,-0.06190,0.22039,0.36576,0.09076,0.25303,0.83609,-0.51838,-0.23260,-0.48325,0.19981,0.19458,0.21327,0.34445,0.84107,0.24706,0.97845,-0.38560,-0.96657,-0.98431,0.08052,-0.02399,-0.97883,-0.52784,0.07742,0.03503,
VenclovasLab.csv_F_Voronota_glob_area_per_atom,-0.59290,-0.47819,-0.40195,1.00000,-0.00404,-0.41583,0.94260,0.51154,0.62768,0.47342,-0.32084,0.97125,0.13682,0.14450,0.13198,-0.46292,-0.70101,0.50643,0.30077,0.49609,-0.14387,0.05873,-0.11631,-0.10153,-0.23924,-0.47523,-0.10445,-0.24404,-0.47184,-0.10534,-0.00961,-0.07673,-0.42659,-0.07605,-0.16655,-0.47155,-0.71632,-0.62305,-0.40256,0.94332,-0.41636,0.91402,0.51154,0.71726,0.62369,-0.32372,0.90946,0.16633,0.24922,0.28948,-0.46265,-0.73110,0.50747,0.38183,0.60751,0.45298,0.39916,0.11637,-0.49878,-0.14449,-0.38227,-0.45459,0.09453,-0.47505,0.12537,-0.50369,-0.15259,-0.27349,-0.40685,-0.13925,0.50866,-0.10621,-0.44906,-0.48900,-0.12103,-0.19225,-0.18956,-0.04461,-0.15118,0.03864,-0.15321,-0.16357,-0.14183,-0.13935,-0.07274,0.16774,0.00836,-0.13070,-0.06100,-0.08746,-0.12697,-0.15018,0.03807,-0.08199,0.17971,-0.11336,-0.13383,-0.09907,-0.06314,-0.04614,0.30290,0.07703,-0.06765,0.03175,-0.01070,-0.11460,-0.20881,-0.03411,-0.12235,-0.31180,0.15610,0.24402,0.25605,-0.00173,0.00006,0.00020,-0.20049,-0.26667,-0.04450,-0.40986,0.08435,0.47671,0.48786,-0.08807,0.01302,0.48332,0.19091,-0.06980,-0.59580,
VenclovasLab.csv_F_Voronota_glob_nonprotein_area,-0.05104,-0.04903,-0.00046,-0.00404,1.00000,-0.00107,-0.01291,0.01726,0.05249,0.05735,0.00000,-0.00470,0.04475,0.04426,0.04036,-0.00083,0.00514,0.00799,0.03527,0.03366,0.00170,-0.02431,0.00042,-0.01424,-0.01743,0.00266,-0.01128,-0.01392,0.00384,0.00264,0.01578,0.02387,0.01598,0.00111,0.00682,0.00933,-0.03989,-0.04382,-0.00045,-0.00649,-0.00109,-0.01379,0.01908,0.04607,0.05018,0.00013,-0.00684,0.04873,0.04567,0.03838,-0.00092,0.00678,0.00883,0.03523,0.03188,-0.00538,-0.00091,-0.00058,0.00899,-0.02824,-0.00260,-0.00536,0.00147,0.00977,-0.00192,0.00831,-0.02603,-0.00104,-0.00647,0.00424,-0.00697,-0.02747,-0.01310,-0.00320,0.00387,-0.00833,-0.00667,-0.00216,0.02013,0.02419,-0.00392,-0.01144,-0.02001,-0.00691,-0.01655,0.01051,-0.01012,-0.00372,0.03687,0.02214,-0.00717,-0.00602,-0.00413,0.01601,0.02691,-0.00744,-0.01709,-0.02171,-0.01143,-0.01498,0.00828,-0.00559,-0.00602,0.03389,0.01528,0.00995,0.00091,0.01507,0.01041,0.00499,0.00874,0.01214,-0.01285,-0.00143,-0.00127,-0.00411,-0.01287,-0.00191,-0.00192,-0.00117,-0.01398,0.00980,0.00297,0.00000,-0.01260,0.00146,-0.00103,0.00342,-0.05166,
VenclovasLab.csv_F_Voronota_glob_volume,0.02825,-0.11871,0.99937,-0.41583,-0.00107,1.00000,-0.36100,-0.95839,-0.12548,-0.03964,0.98855,-0.44972,-0.14612,-0.04639,-0.04105,0.99622,0.42882,-0.97383,0.12602,-0.00900,0.23443,-0.41803,0.20311,0.17277,0.42106,0.47049,0.17713,0.42718,0.46883,0.37118,-0.03339,0.22253,0.41487,0.07933,0.36964,0.45537,0.24314,0.10323,0.99917,-0.51176,0.99992,-0.47876,-0.95771,-0.34045,-0.26619,0.98706,-0.53988,-0.21046,-0.20584,-0.21754,0.99604,0.53654,-0.97406,0.05206,-0.15336,-0.44755,-0.43875,-0.19985,0.51948,0.26185,0.49224,0.45729,-0.12117,0.51275,-0.22976,0.51929,0.30124,0.42735,0.42646,0.27876,-0.51466,0.14874,0.25912,0.46546,0.17208,0.14297,0.03709,0.08009,0.23750,0.12330,0.08880,0.34978,0.19550,0.31531,-0.11438,-0.11241,-0.13629,-0.01240,-0.02403,0.00688,0.02724,-0.04655,-0.07911,0.15842,-0.02083,0.01686,0.34023,0.11364,0.26190,-0.15836,-0.27390,-0.25250,-0.09311,-0.15438,-0.05986,0.21958,0.36664,0.08886,0.25184,0.83350,-0.51732,-0.23225,-0.48302,0.18399,0.17698,0.19954,0.34547,0.83015,0.22640,0.97486,-0.37812,-0.96873,-0.98658,0.08205,-0.02463,-0.98116,-0.52614,0.07771,0.04655,
VenclovasLab.csv_F_Voronota_glob_volume_per_atom,-0.48839,-0.41138,-0.35480,0.94260,-0.01291,-0.36100,1.00000,0.43682,0.54922,0.39416,-0.27528,0.92460,0.11492,0.16471,0.15485,-0.41505,-0.68805,0.43289,0.16360,0.36426,-0.13958,0.04678,-0.10886,-0.07570,-0.19541,-0.41133,-0.08015,-0.20186,-0.41025,-0.08822,-0.00508,-0.04277,-0.36465,-0.06228,-0.12446,-0.41005,-0.60051,-0.53338,-0.35557,0.87808,-0.36174,0.93530,0.43661,0.62850,0.53076,-0.27823,0.85389,0.14070,0.25256,0.29210,-0.41504,-0.70261,0.43344,0.23122,0.46543,0.39444,0.33792,0.11467,-0.44118,-0.12065,-0.33636,-0.40098,0.10470,-0.41561,0.11466,-0.45087,-0.13235,-0.22669,-0.36551,-0.11291,0.46513,-0.07994,-0.34177,-0.42112,-0.14875,-0.18718,-0.19772,-0.08317,-0.13161,-0.00844,-0.14697,-0.16585,-0.16298,-0.12731,-0.08054,0.10270,-0.00336,-0.12290,-0.07631,-0.08148,-0.11142,-0.15398,0.01399,-0.04210,0.16197,-0.10418,-0.11126,-0.10498,-0.03602,-0.05272,0.25103,0.07166,-0.05202,0.02672,0.00174,-0.10531,-0.17457,-0.04351,-0.11279,-0.26955,0.12561,0.20468,0.20184,-0.08937,-0.09913,-0.07387,-0.15989,-0.28340,-0.17712,-0.39244,0.09510,0.42119,0.43887,-0.08000,-0.00153,0.43398,0.17409,-0.06507,-0.50878,
VenclovasLab.csv_F_Voronota_glob_energy,-0.21968,-0.06863,-0.95202,0.51154,0.01726,-0.95839,0.43682,1.00000,0.35072,0.26480,-0.92111,0.54531,0.32604,0.20882,0.19516,-0.96571,-0.50383,0.97674,-0.00836,0.14586,-0.22512,0.32344,-0.19676,-0.14508,-0.37757,-0.45548,-0.14927,-0.38314,-0.45340,-0.33845,0.08597,-0.13837,-0.38542,-0.04012,-0.29779,-0.43448,-0.39536,-0.26467,-0.95188,0.58229,-0.95836,0.53498,0.99717,0.51960,0.44716,-0.92018,0.60774,0.37894,0.35104,0.34969,-0.96562,-0.59080,0.97626,0.05617,0.27536,0.43268,0.42277,0.19343,-0.51564,-0.24591,-0.46433,-0.44689,0.11987,-0.50650,0.22099,-0.51671,-0.29020,-0.37064,-0.41728,-0.26601,0.51446,-0.12675,-0.26431,-0.45409,-0.13465,-0.13785,-0.03967,-0.04586,-0.21713,-0.05887,-0.08500,-0.30076,-0.16892,-0.28847,0.08948,0.13672,0.12342,0.00125,0.03477,-0.01348,-0.04081,0.02710,0.08327,-0.15086,0.05702,-0.02782,-0.30931,-0.11039,-0.25603,0.13135,0.27232,0.22483,0.07400,0.14568,0.04892,-0.20860,-0.35204,-0.08180,-0.23882,-0.78461,0.48465,0.22015,0.42598,-0.10563,-0.09331,-0.11525,-0.33073,-0.72988,-0.12399,-0.91954,0.30442,0.97496,0.97267,-0.09102,0.02887,0.96516,0.54407,-0.07264,-0.22568,
VenclovasLab.csv_F_Voronota_glob_energy_norm,-0.87016,-0.74920,-0.11085,0.62768,0.05249,-0.12548,0.54922,0.35072,1.00000,0.97949,-0.04937,0.61730,0.54716,0.64462,0.63713,-0.15939,-0.46297,0.24438,0.51428,0.63148,-0.03316,-0.29280,-0.02785,0.04412,0.05246,-0.14243,0.04582,0.05551,-0.13726,0.03218,0.17666,0.26774,-0.04155,0.10256,0.18539,-0.10442,-0.78654,-0.73583,-0.11094,0.55626,-0.12567,0.50269,0.34373,0.88098,0.88737,-0.05023,0.53939,0.52642,0.61530,0.61895,-0.15984,-0.44042,0.24256,0.51781,0.63095,0.12521,0.12420,0.02802,-0.21949,-0.00898,-0.05671,-0.15091,0.03134,-0.20000,0.02557,-0.22707,-0.02549,0.11974,-0.13281,-0.02089,0.23927,0.02175,-0.20803,-0.16580,0.01875,-0.07030,-0.05505,0.04321,-0.01514,0.14028,-0.04340,0.03800,0.00401,-0.00481,-0.08401,0.08097,-0.03695,-0.07572,-0.01170,-0.06011,-0.07972,-0.08294,0.03834,-0.00487,0.17425,-0.06644,0.02544,-0.00947,-0.01325,-0.08713,0.08098,-0.05535,-0.07295,-0.00254,-0.04918,-0.00998,-0.03288,0.00736,-0.01386,-0.05860,0.04148,0.07622,-0.10329,0.09468,0.10663,0.11779,-0.03011,0.02568,0.13170,-0.10109,-0.10999,0.26176,0.20481,-0.04455,-0.00269,0.19593,0.19838,0.00733,-0.85866,
VenclovasLab.csv_F_Voronota_glob_energy_per_atom,-0.85380,-0.73666,-0.02692,0.47342,0.05735,-0.03964,0.39416,0.26480,0.97949,1.00000,0.02025,0.46818,0.56999,0.68316,0.68271,-0.06485,-0.35695,0.14893,0.52753,0.60973,-0.00105,-0.35065,-0.00162,0.07114,0.11489,-0.05308,0.07431,0.12003,-0.04735,0.06348,0.19819,0.31809,0.05239,0.13123,0.24843,-0.00944,-0.72775,-0.68512,-0.02684,0.40758,-0.03971,0.35045,0.25709,0.82320,0.86058,0.02011,0.39648,0.53958,0.62389,0.62508,-0.06543,-0.32652,0.14679,0.51635,0.58394,0.03318,0.04206,0.00155,-0.13427,0.02468,0.02824,-0.06518,0.01075,-0.11700,-0.00315,-0.14186,0.01049,0.20297,-0.05256,0.01133,0.15477,0.04571,-0.15205,-0.07899,0.04853,-0.03221,-0.01617,0.05543,0.01747,0.14731,-0.01007,0.07953,0.03748,0.02973,-0.07613,0.04861,-0.04438,-0.05351,0.00044,-0.04793,-0.05781,-0.05714,0.03019,0.01228,0.15565,-0.04461,0.05959,0.01309,0.00362,-0.08704,0.01737,-0.08127,-0.06721,-0.01076,-0.05539,0.01795,0.01423,0.01833,0.01544,0.00931,0.01102,0.02988,-0.17955,0.10323,0.11577,0.12759,0.01444,0.08933,0.15334,-0.01341,-0.14198,0.17504,0.10844,-0.02718,-0.00803,0.09913,0.17356,0.02615,-0.84026,
