pdb-id,I_physiological_score,Training
6s1l_5,0.652174,0
5wme_5,1,0
5xwm_3,0,0
2xbf_2,0.5,0
1k9a_11,0.543478,0
1or3_7,0.478261,0
2ijd_5,0.333333,0
2ofj_1,0.37931,0
2wnh_5,0.2,0
5c9v_3,0.971429,0
6bwy_1,0.030303,0
6ii0_6,0.885417,0
6ii0_7,0.813953,0
3wnk_2,0.475,0
3gty_7,0.527778,0
3e7k_14,1,0
2zzn_2,0.447368,0
3k55_9,0.321429,0
6jj4_4,0.351351,0
5hay_1,0.0506329,0
1qhm_4,0.487179,0
3icw_3,0.55814,0
6k6n_1,0.25,0
5e5p_4,0.829268,0
1gxd_4,0.137931,0
4ft4_1,0.203704,0
4u66_5,0.678571,0
6j09_4,0.181818,0
2bdm_2,0.230769,0
6mxd_2,0.5,0
2b8h_6,0.30303,0
2rhj_1,0.565217,0
3uen_5,0.875,0
6bi7_21,0.5,0
5crb_1,0.653846,0
3hpn_1,0.96,0
2qxl_1,0.441176,0
4dq0_1,0.358974,0
2f1z_5,0,0
5ho9_4,0.392857,0
5lta_3,0.371429,0
3b7m_6,0.241379,0
3m7p_3,0.22449,0
6d9m_4,0.407407,0
3me4_1,0.83871,0
1l7c_5,0.6,0
2xer_3,0.783784,0
5crc_1,0.986667,0
5dyk_2,0.314286,0
3nc1_5,0.0243902,0
6otn_2,0.96,0
6dd5_1,0.431818,0
6ewi_3,1,0
5xfl_2,0.481481,0
6tka_4,0,0
3ani_1,0.5,0
5y3e_2,0.818182,0
3mgc_2,0.7,0
5fuf_1,0.451613,0
5gus_1,0.833333,0
6h3s_1,0.659091,0
3t6n_4,0.225806,0
4k5s_1,0.294118,0
3kvb_1,0.0294118,0
3v0e_5,0.846154,0
3kga_1,0.12,0
6qq2_2,0,0
2gd5_1,0.634615,0
1mvh_1,0.0909091,0
6eng_3,0.68,0
4dmz_1,0.606061,0
4ikm_1,0,0
4o03_1,0.3,0
5igh_2,0.4,0
5ifw_6,0.611111,0
5imt_6,0.0714286,0
2ffv_3,0.272727,0
3wbj_6,0.0344828,0
3frl_1,0.69697,0
5mfa_3,0.125,0
6pqn_5,0.62,0
4hdg_1,0.765957,0
4dez_3,0.647059,0
2ibm_4,0.444444,0
4nzq_2,0.217391,0
1fu1_8,0.653846,0
6mac_5,0.272727,0
4lo5_2,0.142857,0
5yim_2,0.205882,0
5mzo_2,0.0212766,0
2nsa_6,0.735294,0
1lkv_6,1,0
1ud0_7,0.863636,0
1u07_1,0.956522,0
4m58_1,0.642857,0
2nub_6,0.1,0
4red_1,0.90566,0
2f1m_2,0.275862,0
2wfh_1,0.296296,0
3aux_2,0.25,0
6dkk_1,0.870968,0
4q5y_1,0.25,0
1u2j_24,0.655172,0
2jbx_1,0.956522,0
4i8c_13,0.0952381,0
2i91_1,0.35,0
5kvt_2,0,0
1juh_9,0.68,0
4gew_4,0.274194,0
5l7n_1,0.214286,0
1cx8_2,0.189655,0
5h13_1,0.542857,0
3ihl_5,0.925,0
5k93_1,0.206897,0
3zl7_8,0.0689655,0
6aob_1,0.945946,0
4czm_1,0,0
4pwz_1,0.0606061,0
5wof_13,1,0
6vjb_4,0,0
5n69_1,0.3,0
6jdu_3,0.808511,0
2ont_3,0.410256,0
5dbl_1,0.210526,0
4z8x_8,1,0
2nsa_5,0.6,0
4hd0_5,0.190476,0
5dis_10,0.0333333,0
1ici_5,0.647059,0
2pf4_5,0.352941,0
6emt_1,0.625,0
5l40_2,0.133333,0
2ym9_8,0.96,0
1kho_1,0.387097,0
3cb2_1,0.857143,0
4gtw_1,0.347826,0
5k5t_1,0.0615385,0
5vm9_1,0.128205,0
4eib_6,0.725,0
5dzm_3,0.847458,0
2pn5_2,0.826923,0
4tkx_3,0.96,0
4fhl_2,0.304348,0
4oph_1,0.714286,0
4f7o_1,0.529412,0
2d4h_1,0.407407,0
4p3w_1,0.897436,0
1xew_4,0.638889,0
4h6u_1,1,0
4qds_1,0.318182,0
1o92_2,0.193548,0
2g45_2,0.888889,0
5mat_1,0.0434783,0
4iyp_5,0.807692,0
6ii0_11,0.384615,0
6cf6_1,0.592593,0
6a1z_5,0.25641,0
4e89_2,0.173913,0
1qpg_1,0.194444,0
5mja_1,0.0606061,0
4u5k_1,0.969697,0
3tpe_4,0.225,0
1mml_2,0.594595,0
3q5m_5,0.466667,0
1pxv_1,0.9375,0
6i04_3,0.138889,0
4czm_5,0.027027,0
6bnc_1,0.441176,0
2q7d_1,0.846154,0
4pbc_1,0.777778,0
3l9n_5,0.259259,0
5nqz_11,0.717391,0
3k8v_9,0.870968,0
1p35_11,0.642857,0
4knh_1,0,0
4yh6_1,0.0925926,0
5cb2_3,0.988235,0
5lj8_3,0.789474,0
2vsc_4,0.883721,0
4npj_1,0.196721,0
4n3v_1,0.5,0
3dqv_12,0.422222,0
5dtm_1,0.5,0
6k4p_3,0.2,0
6i7k_1,0.296296,0
3mg9_3,0.272727,0
2j3s_1,0.513514,0
1nf7_4,0.846154,0
4kkd_1,0.791667,0
2xiq_1,0.210526,0
3jpw_2,0.133333,0
6gv1_7,0.541667,0
4c5g_6,0.6,0
4w8p_5,0.704545,0
2f9q_2,0.259259,0
6fpt_1,0.682927,0
2qyu_1,0.394366,0
4cyj_12,0.0666667,0
5eqf_7,0,0
2j7l_4,0.289474,0
6dfk_9,0.424242,0
3vh1_2,0.238095,0
5qsl_2,0.481481,0
4p2l_1,0.1,0
5a1k_8,0.0731707,0
1m6b_2,0.911111,0
2i7p_1,0.592593,0
3dd9_1,0.982143,0
5j1f_4,0.192308,0
2x2u_3,0.692308,0
1khx_2,0.882353,0
6g8t_3,0.318182,0
6r2s_8,0.03125,0
6txq_3,0.117647,0
4x94_4,0.08,0
6d2s_6,0.809524,0
1n0v_2,0.186441,1
6pkc_4,0.709677,0
4p7o_1,0.607143,0
4a64_5,0.555556,0
4red_8,0.90566,0
1nft_2,0.206897,0
2hb0_1,0.678571,0
5uig_4,0.16129,0
3ktm_12,0.804878,0
2io3_12,0.857143,0
4wlm_2,0.605263,0
3ret_7,0.888889,0
3nyo_3,0.28,0
6eku_2,0.304348,0
5yp1_3,0.08,0
4c0p_1,0.983871,0
4ldb_4,0.535714,0
5ajn_3,0.979167,0
5mio_5,0.326087,0
6gfk_3,0.425,0
3kt3_3,0.128205,0
3o51_5,0.310345,0
1vic_7,0.424242,0
3rtr_20,0.310345,0
4qdh_1,0.2,0
1nft_1,0.517241,0
5zyo_2,0.927835,0
6g5g_11,1,0
3vdu_4,0.653846,0
5ygs_6,0.388889,0
1xi1_1,0.425,0
4g0a_16,0.868421,0
4pyz_1,0.107143,0
6bui_11,0.222222,0
3hie_3,0.875,0
6bb8_2,0.2,0
4l3q_1,0,0
5oj8_3,0.470588,0
3ml6_3,0.322581,0
4nld_3,0.25,0
5gmj_6,0.714286,0
6g88_1,0,0
3wxm_3,0,0
4qgb_1,0.833333,0
3eb8_3,0.658537,0
5v38_7,0.615385,0
4fqn_1,1,0
3mlo_3,0.6,0
5lx8_1,0.714286,0
1dt9_4,0.111111,0
4h6z_1,0.870968,0
3npc_2,0.277778,0
6vdd_2,0.178571,0
4mko_2,0.962963,0
4gml_1,0.608696,0
1bs2_4,0.48,0
4bq8_3,0.740741,0
1kix_3,0.539474,0
4rly_3,0.774194,0
4w8c_6,1,0
2j3x_1,0,0
2vnc_8,0.108108,0
5kyn_7,0.416667,0
5b3z_1,0.1,0
1p8l_1,0.625,0
6n5z_1,0.461538,0
5mqh_4,0.181818,0
3pfy_4,0.84,0
4knh_4,0.129032,0
2dh6_1,0.04,0
2f9q_3,0.625,0
1j36_3,0,0
6hkw_16,0.486486,0
1x1p_3,0,0
2zb3_4,0.0322581,0
6g20_4,0.638889,0
1ku2_1,0.95,0
3u8z_10,0.75,0
1t1e_2,0.428571,0
2bbh_4,0.923077,0
2pr8_3,0.542857,0
4d94_2,0,0
3r8k_1,0.424242,0
2v5n_1,0,0
1v4t_4,0.548387,0
5yij_13,0.583333,0
4tse_1,0.733333,0
1fdj_11,0.511628,0
6orf_1,0.65625,0
5afb_5,0.514286,0
4pfe_1,0.416667,0
5fjz_4,0.416667,0
4kmd_4,0.771429,0
5o8e_2,0.179487,0
4cmp_11,0.594595,0
4zai_4,0,0
3cl3_7,1,0
2xj9_1,0.625,0
1qex_1,1,0
1jqj_9,0.282609,0
1j8f_5,0.64,0
3thn_1,0.369565,0
4pz8_4,0.196078,0
4bbr_39,0.333333,0
6rp3_5,0,0
1ggt_10,0.103448,0
1k6i_3,0.225806,0
1vg9_2,0.282051,0
4zch_5,0.195122,0
6j20_3,0.1875,0
5hpk_5,0.47619,0
5gx8_1,0.22449,0
5col_1,0.645161,0
1gcj_1,0.454545,0
6dkk_6,0.73913,0
1wlg_3,0.5,0
3mlp_10,0.8,0
5bqn_4,0.982143,0
6j09_5,0.114286,0
1m6u_9,0.73913,0
2ejn_1,0.78125,0
4cqo_2,0.529412,0
5kz6_1,0.545455,0
3pbb_5,0.53125,0
5fom_2,0.344828,0
3k44_21,0.827586,0
3bqa_1,0.9375,0
2vx8_1,0.916667,0
6r80_2,0.837838,0
5knl_11,0,0
6jsd_1,0.805556,0
5hns_1,0.459459,0
6d3l_1,0,0
4ytv_3,0.96,0
1dov_3,0.0606061,0
1pd5_26,0.206897,0
4hne_6,0.448276,0
4mkq_1,0.925926,0
3cpe_5,0.208333,0
4g1l_10,0.45,0
3enm_11,0.380952,0
3al9_1,0.5,0
4l4w_9,0.371429,0
6fju_1,0.965517,0
3p27_1,0.2,0
1y6h_3,0.6,0
3lmn_8,0.366667,0
2i6a_2,0.466667,0
5oym_13,1,0
5xzw_7,0,0
3nan_2,0,0
4rb0_7,0.892857,0
3bdl_3,0.621622,0
6qzh_3,0.344828,0
6r2f_1,0.941176,0
1psa_1,0.0714286,0
3p4y_1,0.282051,0
2xcr_4,0.631579,0
3lqe_5,0.636364,0
6h97_3,0.32,0
4hok_1,0.1,0
6qgs_17,0.666667,0
5gzu_1,0.117647,0
1wac_4,0.470588,0
3qwm_1,0.96,0
4zlp_4,0.73913,0
4qhh_3,0.785714,0
3bxz_1,0.708333,0
3uit_14,0.516129,0
3wbi_8,0.25,0
4pel_7,1,0
4pln_1,0.482759,0
4kxf_17,0,0
3smt_4,0.372093,0
4hj1_6,0.770833,0
3wbj_2,0,0
3ty9_4,0.675676,0
2b0u_18,0,0
5coa_3,0.46875,0
2jkr_34,0.0588235,0
6rrc_4,0.555556,0
3tsw_4,0.285714,0
5yij_5,0.333333,0
5l45_1,0.276596,0
6i97_1,0.345455,0
4paa_1,0.233333,0
2ahm_21,1,0
5afb_2,0.526316,0
5y4s_6,0.432432,0
6tfq_4,0,0
3n5c_1,0.225806,0
5ncs_1,0.351351,0
5y2f_2,0.0344828,0
2g7p_1,0.925,0
4rct_1,0.853659,0
1gyl_1,0.65625,0
5d9g_2,0.472222,0
2ym0_5,0.875,0
3nyl_3,0.538462,0
3v00_10,0.525,0
4ziq_3,0.818182,0
3a1d_5,0.25,0
6np6_5,0.833333,0
1lws_4,0.176471,0
6iny_1,0.204545,0
2rdi_2,0.347826,0
3pnd_8,0.531915,0
6p40_1,0.463415,0
3ufe_1,1,0
4cqo_7,0.325,0
5igp_2,0.411765,0
4hc1_28,0.194444,0
6kc6_7,0.56,0
3o77_2,0.547619,0
3ftj_5,0.703704,0
6i3j_3,0.333333,0
3dpt_1,0.142857,0
4i6s_9,0.962963,0
5f74_2,0,0
1h3i_1,0.913043,0
5lb8_1,0.0465116,0
6g16_10,0.536585,0
6jtz_1,0.567568,0
6iii_1,0.272727,0
6wrh_3,0.642857,0
