PDB_ID,I_Class_RFC_a,I_Probability_true_RFC_all_feat,I_Class_NN_a,I_Probability_true_NN_all_feat,I_Class_RFC_s,I_Probability_true_RFC_selected,I_Class_NN_s,I_Probability_true_NN_selected,Training
1a17_6.pdb,True,0.791, True,1.0,True,0.738, True,0.981,No
1a3a_1.pdb,True,0.816, True,0.911,True,0.619, True,0.798,No
1a7g_1.pdb,True,0.839, True,0.796,True,0.749, True,0.864,No
1ac6_1.pdb,True,0.805, True,0.648,True,0.721, True,0.829,No
1afw_1.pdb,True,0.766, True,1.0,True,0.841, True,0.936,No
1ail_1.pdb,True,0.838, True,1.0,True,0.942, True,0.997,No
1aiz_1.pdb,True,0.786,False,0.457,True,0.843, True,0.716,No
1alu_1.pdb,False,0.275,False,0.196,False,0.196,False,0.351,No
1aoh_1.pdb,True,0.694,False,0.375,True,0.646, True,0.523,No
1azt_1.pdb,True,0.732, True,0.861,True,0.793, True,0.945,No
1azw_1.pdb,False,0.21,False,0.006,False,0.141,False,0.04,No
1b0w_1.pdb,True,0.73, True,0.957,True,0.717, True,0.88,No
1b23_4.pdb,True,0.731, True,0.559,True,0.825, True,0.866,No
1b78_1.pdb,True,0.805, True,1.0,True,0.902, True,0.99,No
1bgf_1.pdb,True,0.798, True,1.0,True,0.828, True,0.997,No
1bhm_1.pdb,True,0.818, True,1.0,True,0.925, True,0.981,No
1bjj_9.pdb,False,0.006,False,0.002,False,0.024,False,0.036,No
1bjt_1.pdb,True,0.862, True,1.0,True,0.759, True,0.991,No
1bp6_1.pdb,False,0.077,False,0.001,False,0.075,False,0.125,No
1br1_20.pdb,True,0.629,False,0.0,False,0.462,False,0.0,No
1bs2_4.pdb,True,0.729, True,0.921,True,0.682, True,0.778,No
1bws_1.pdb,False,0.047,False,0.052,False,0.079,False,0.391,No
1bww_1.pdb,True,0.683, True,0.914,True,0.684, True,0.882,No
1c16_14.pdb,True,0.824, True,0.947,True,0.824, True,0.927,No
1c3g_1.pdb,False,0.134,False,0.011,False,0.07,False,0.105,No
1cd0_1.pdb,True,0.75, True,0.883,True,0.765, True,0.889,No
1cd8_1.pdb,True,0.866, True,0.985,True,0.885, True,0.962,No
1cdt_1.pdb,True,0.77,False,0.0,True,0.666,False,0.018,No
1cp2_1.pdb,True,0.824, True,0.782,True,0.735, True,0.891,No
1cx8_2.pdb,True,0.754, True,0.99,True,0.782, True,0.834,No
1cyy_5.pdb,True,0.59,False,0.011,False,0.49,False,0.126,No
1d1t_4.pdb,True,0.863, True,1.0,True,0.817, True,0.991,No
1d5w_2.pdb,True,0.649, True,0.773,True,0.647, True,0.739,No
1dd7_1.pdb,True,0.563,False,0.368,True,0.686, True,0.75,No
1dgk_1.pdb,True,0.651, True,0.566,True,0.559, True,0.865,No
1dov_3.pdb,True,0.655, True,0.962,True,0.708, True,0.943,No
1dp4_1.pdb,True,0.8, True,0.892,True,0.7, True,0.759,No
1dp4_2.pdb,True,0.774, True,0.916,True,0.665, True,0.761,No
1dt9_4.pdb,False,0.479,False,0.017,False,0.218,False,0.071,No
1dvr_1.pdb,True,0.544,False,0.459,True,0.522, True,0.614,No
1e0r_2.pdb,True,0.698, True,0.558,True,0.723, True,0.816,No
1e59_1.pdb,True,0.731, True,0.771,True,0.795, True,0.803,No
1e6c_1.pdb,True,0.793, True,1.0,True,0.892, True,0.995,No
1e7n_1.pdb,True,0.84, True,0.648,True,0.765, True,0.82,No
1e85_1.pdb,True,0.796, True,0.961,True,0.912, True,0.926,No
1ecx_1.pdb,True,0.507, True,0.815,True,0.594, True,0.785,No
1eeq_1.pdb,True,0.804, True,0.967,True,0.8, True,0.896,No
1eku_1.pdb,True,0.848, True,0.998,True,0.872, True,0.979,No
1eqw_2.pdb,True,0.778, True,0.965,True,0.785, True,0.893,No
1erv_1.pdb,True,0.615,False,0.342,True,0.693, True,0.703,No
1esr_1.pdb,True,0.886, True,0.786,True,0.835, True,0.792,No
1ewj_2.pdb,True,0.862, True,0.91,True,0.689, True,0.657,No
1ex2_1.pdb,False,0.267,False,0.002,False,0.168,False,0.033,No
1f1c_1.pdb,True,0.773, True,0.716,True,0.675, True,0.751,No
1f1g_2.pdb,True,0.796, True,0.899,True,0.872, True,0.808,No
1f1j_5.pdb,True,0.545,False,0.107,False,0.325,False,0.188,No
