ID,F_VenclovasLab.csv_F_Voronota_glob_area,F_VenclovasLab.csv_F_Voronota_glob_area_per_atom,F_VenclovasLab.csv_F_Voronota_glob_nonprotein_area,F_VenclovasLab.csv_F_Voronota_glob_sas_energy,F_VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,F_VenclovasLab.csv_F_Voronota_iface_atoms,F_VenclovasLab.csv_F_Voronota_iface_atoms_light_score,F_VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,F_VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,F_Oliva_rawdata_v3.csv_F_PA,F_Oliva_rawdata_v3.csv_F_PAr,F_Oliva_rawdata_v3.csv_F_PAl,F_Oliva_rawdata_v3.csv_F_CA,F_Oliva_rawdata_v3.csv_F_CAr,F_Oliva_rawdata_v3.csv_F_CAl,F_Oliva_rawdata_v3.csv_F_CP,F_Oliva_rawdata_v3.csv_F_PP,F_Oliva_rawdata_v3.csv_F_CC,F_Oliva_rawdata_v3.csv_F_ArAr,F_Oliva_rawdata_v3.csv_F_AlAl,F_Oliva_rawdata_v3.csv_F_AlAr,F_Oliva_rawdata_v3.csv_F_AAr,F_Oliva_rawdata_v3.csv_F_AAl,F_Oliva_rawdata_v3.csv_F_AA,F_Oliva_rawdata_v3.csv_F_fPA,F_Oliva_rawdata_v3.csv_F_fPAr,F_Oliva_rawdata_v3.csv_F_fPAl,F_Oliva_rawdata_v3.csv_F_fCA,F_Oliva_rawdata_v3.csv_F_fCAr,F_Oliva_rawdata_v3.csv_F_fCAl,F_Oliva_rawdata_v3.csv_F_fCP,F_Oliva_rawdata_v3.csv_F_fPP,F_Oliva_rawdata_v3.csv_F_fCC,F_Oliva_rawdata_v3.csv_F_fAlAl,F_Oliva_rawdata_v3.csv_F_fAlAr,F_Oliva_rawdata_v3.csv_F_fAAl,F_Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,F_LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,F_LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,F_FurmanLab_interface_analyzer_disulf.csv_F_I-sc,F_FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,F_FurmanLab_interface_analyzer_disulf.csv_F_sc-value,F_Kiharalab_feature.csv_F_DOVE,F_Kiharalab_feature.csv_F_GNN-DOVE,F_Kiharalab_feature.csv_F_PhysicsScore,F_Kiharalab_feature.csv_F_RosettaInterfaceEnergy,I_Confidence,I_Score,Training
1b78_1,36414.800000000,12.178860000,0.000000000,-1512.430000000,-0.410100000,243.000000000,0.549440000,-0.193500000,-0.005920000,0.000000000,4.000000000,8.000000000,0.000000000,5.000000000,0.000000000,5.000000000,5.000000000,4.000000000,8.000000000,6.000000000,4.000000000,8.000000000,4.000000000,0.000000000,0.000000000,0.066000000,0.131000000,0.000000000,0.082000000,0.000000000,0.082000000,0.082000000,0.066000000,0.098000000,0.066000000,0.066000000,720.510000000,0.078282618,0.317562149,-57.959000000,6.658000000,0.741000000,0.000096960,0.206400000,-16630.600000000,-63.869000000,0.841970419,1,0
1bjt_1,137291.000000000,12.262500000,0.000000000,-3145.530000000,-0.414730000,476.000000000,0.530900000,-0.279000000,-0.002230000,0.000000000,2.000000000,24.000000000,10.000000000,14.000000000,4.000000000,14.000000000,4.000000000,17.000000000,1.000000000,17.000000000,6.000000000,0.000000000,4.000000000,1.000000000,0.000000000,0.017000000,0.203000000,0.085000000,0.119000000,0.034000000,0.119000000,0.034000000,0.144000000,0.144000000,0.051000000,0.034000000,671.310000000,0.027719125,0.130634775,61.661000000,19.380000000,0.637000000,0.000544671,0.546500000,-40544.700000000,-96.279600000,-0.671686117,0,0
1cp2_1,48176.600000000,11.807990000,0.000000000,-893.259000000,-0.381640000,233.000000000,0.380920000,-0.145430000,0.003300000,2.000000000,0.000000000,0.000000000,11.000000000,7.000000000,0.000000000,0.000000000,0.000000000,7.000000000,0.000000000,7.000000000,4.000000000,4.000000000,17.000000000,18.000000000,0.026000000,0.000000000,0.000000000,0.143000000,0.091000000,0.000000000,0.000000000,0.000000000,0.091000000,0.091000000,0.052000000,0.221000000,221.230000000,0.089996839,0.156721783,-27.129000000,6.662000000,0.618000000,0.009318342,0.460300000,-15871.900000000,-44.880200000,0.346678199,1,0
1d5w_2,23811.500000000,12.857180000,0.000000000,189.186000000,-0.464570000,107.000000000,0.567260000,-0.318460000,-0.000680000,0.000000000,0.000000000,0.000000000,2.000000000,8.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,6.000000000,4.000000000,0.000000000,4.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.071000000,0.286000000,0.000000000,0.000000000,0.000000000,0.107000000,0.214000000,0.143000000,0.143000000,99.550000000,0.071461988,0.225865209,-32.527000000,3.196000000,0.702000000,0.040187877,0.388700000,-8523.090000000,-31.191900000,0.993230783,1,0
1dov_3,36693.200000000,13.208500000,0.000000000,-698.836000000,-0.287970000,332.000000000,0.457510000,-0.195370000,-0.010000000,2.000000000,0.000000000,8.000000000,4.000000000,16.000000000,0.000000000,6.000000000,13.000000000,11.000000000,0.000000000,6.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.029000000,0.000000000,0.114000000,0.057000000,0.229000000,0.000000000,0.086000000,0.186000000,0.157000000,0.086000000,0.029000000,0.000000000,1012.520000000,0.205850706,0.127346939,-33.452000000,5.739000000,0.441000000,0.811017573,0.607000000,-11427.200000000,-58.313000000,-0.587981208,0,0
1dp4_2,78709.100000000,11.779270000,0.000000000,-561.542000000,-0.457340000,126.000000000,0.696250000,-0.516310000,-0.004910000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,2.000000000,2.000000000,0.000000000,4.000000000,2.000000000,1.000000000,6.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.174000000,0.087000000,0.087000000,0.000000000,0.174000000,0.043000000,0.261000000,0.000000000,-310.550000000,0.021842228,0.070512821,1798.730000000,9.822000000,0.753000000,0.000064668,0.638200000,-13621.700000000,-32.379000000,1.128867019,1,0
1e0r_2,29644.100000000,12.777630000,0.000000000,-1004.320000000,-0.340100000,276.000000000,0.350340000,-0.193700000,0.010030000,2.000000000,0.000000000,4.000000000,12.000000000,10.000000000,6.000000000,6.000000000,2.000000000,16.000000000,1.000000000,0.000000000,0.000000000,9.000000000,2.000000000,5.000000000,0.027000000,0.000000000,0.053000000,0.160000000,0.133000000,0.080000000,0.080000000,0.027000000,0.213000000,0.000000000,0.000000000,0.027000000,729.490000000,0.117394889,0.187272727,-25.857000000,3.858000000,0.643000000,0.001486053,0.377600000,-16369.900000000,-51.042200000,0.132285667,1,0
1e59_1,46675.700000000,11.998890000,0.000000000,-2481.630000000,-0.410980000,190.000000000,0.533440000,-0.383720000,-0.007660000,0.000000000,0.000000000,0.000000000,0.000000000,12.000000000,6.000000000,2.000000000,0.000000000,6.000000000,1.000000000,3.000000000,6.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.316000000,0.158000000,0.053000000,0.000000000,0.158000000,0.079000000,0.158000000,0.000000000,244.970000000,0.125576327,0.104347826,-48.469000000,6.103000000,0.622000000,0.000004275,0.398100000,-16760.000000000,-42.085800000,0.654624057,1,0
1e7n_1,17197.200000000,12.257450000,0.000000000,-902.948000000,-0.399740000,205.000000000,0.501290000,-0.243290000,0.009570000,5.000000000,4.000000000,2.000000000,9.000000000,4.000000000,0.000000000,5.000000000,1.000000000,11.000000000,0.000000000,7.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0.091000000,0.073000000,0.036000000,0.164000000,0.073000000,0.000000000,0.091000000,0.018000000,0.200000000,0.127000000,0.000000000,0.109000000,614.060000000,0.162112933,0.375000000,-33.998000000,2.096000000,0.591000000,0.003603136,0.230000000,-7866.540000000,-45.466900000,0.503215377,1,0
1e85_1,24202.900000000,13.168060000,0.000000000,-560.225000000,-0.383650000,120.000000000,0.673730000,-0.489820000,-0.018150000,0.000000000,2.000000000,4.000000000,0.000000000,2.000000000,6.000000000,2.000000000,4.000000000,0.000000000,0.000000000,12.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.059000000,0.118000000,0.000000000,0.059000000,0.176000000,0.059000000,0.118000000,0.000000000,0.353000000,0.059000000,0.000000000,471.710000000,0.093023256,0.198319328,782.680000000,2.722000000,0.787000000,0.000257655,0.530200000,-8532.180000000,-28.445600000,1.500270744,1,0
