#pdb-id,I_deeprank_prediction_class,I_p_crystal,I_p_biological,Training
1a17_6,crystal,0.991,0.009000000000000001,False
1a3a_1,crystal,0.5429999999999999,0.457,False
1ac6_1,crystal,0.659,0.341,False
1afw_1,biological,0.039,0.961,False
1aiz_1,biological,0.139,0.861,False
1alu_1,crystal,0.9990000000000001,0.001,False
1aoh_1,crystal,1.0,0.0,False
1azt_1,biological,0.456,0.544,False
1azw_1,crystal,0.82,0.18,False
1b0w_1,biological,0.11900000000000001,0.8809999999999999,False
1b23_4,crystal,0.991,0.009000000000000001,False
1bgf_1,biological,0.22399999999999998,0.7759999999999999,False
1bhm_1,biological,0.091,0.909,False
1bjj_9,crystal,1.0,0.0,False
1bjt_1,crystal,0.593,0.40700000000000003,False
1bp6_1,crystal,0.903,0.09699999999999999,False
1br1_20,crystal,0.9790000000000001,0.021,False
1bs2_4,crystal,0.677,0.32299999999999995,False
1bww_1,crystal,0.599,0.401,False
1c16_14,biological,0.095,0.905,False
1c3g_1,crystal,0.9990000000000001,0.001,False
1cd0_1,biological,0.066,0.934,False
1cd8_1,biological,0.036000000000000004,0.9640000000000001,False
1cdt_1,biological,0.0,1.0,False
1cx8_2,crystal,0.9990000000000001,0.001,False
1cyy_5,biological,0.16899999999999998,0.831,False
1d5w_2,biological,0.01,0.99,False
1dd7_1,crystal,0.995,0.005,False
1dgk_1,crystal,0.593,0.40700000000000003,False
1dov_3,crystal,0.968,0.032,False
1dp4_1,biological,0.151,0.8490000000000001,False
1dp4_2,biological,0.425,0.575,False
1dt9_4,crystal,0.899,0.10099999999999999,False
1dvr_1,biological,0.049,0.951,False
1e0r_2,biological,0.49200000000000005,0.508,False
1e59_1,biological,0.022000000000000002,0.978,False
1e6c_1,biological,0.368,0.632,False
1e7n_1,biological,0.033,0.9670000000000001,False
1e85_1,crystal,0.82,0.18,False
1ecx_1,crystal,0.945,0.055,False
1eeq_1,biological,0.295,0.705,False
1eku_1,crystal,0.995,0.005,False
1eqw_2,crystal,0.816,0.184,False
1erv_1,biological,0.39899999999999997,0.601,False
1esr_1,crystal,0.8959999999999999,0.10400000000000001,False
1ewj_2,biological,0.0,1.0,False
1ex2_1,crystal,0.9740000000000001,0.026000000000000002,False
1f1c_1,crystal,0.684,0.316,False
1f1g_2,biological,0.001,0.9990000000000001,False
1fcf_6,crystal,0.598,0.402,False
1fe0_1,biological,0.003,0.997,False
1fp3_2,crystal,0.764,0.23600000000000002,False
1fpq_1,biological,0.0,1.0,False
1fr1_1,crystal,0.982,0.018000000000000002,False
1fse_3,biological,0.29100000000000004,0.7090000000000001,False
1fu1_8,crystal,0.932,0.068,False
1fux_1,biological,0.009000000000000001,0.991,False
1fvp_1,crystal,0.9990000000000001,0.001,False
1g73_7,crystal,0.996,0.004,False
1gam_1,biological,0.012,0.988,False
1gan_1,biological,0.068,0.932,False
1gcj_1,biological,0.308,0.6920000000000001,False
1ggt_10,crystal,0.65,0.35,False
1gmz_1,crystal,0.579,0.42100000000000004,False
1gxd_4,crystal,0.997,0.003,False
1gyl_1,crystal,0.991,0.009000000000000001,False
1gyo_1,crystal,0.99,0.01,False
1h0x_1,biological,0.004,0.996,False
1h3i_1,crystal,0.8540000000000001,0.146,False
1ha4_1,biological,0.16699999999999998,0.833,False
1hjr_1,biological,0.06,0.94,False
1hlc_1,biological,0.039,0.961,False
1hq8_1,biological,0.326,0.674,False
1hsj_1,crystal,0.935,0.065,False
1hux_1,biological,0.0,1.0,False
1hy3_1,biological,0.047,0.953,False
1i49_3,crystal,0.539,0.461,False
1i74_1,biological,0.166,0.8340000000000001,False
1ibd_1,biological,0.08800000000000001,0.912,False
1ici_5,biological,0.008,0.992,False
1ii2_1,biological,0.062,0.938,False
1iiw_1,crystal,1.0,0.0,False
1ijy_1,biological,0.387,0.613,False
1is3_1,biological,0.048,0.9520000000000001,False
1ivl_1,biological,0.065,0.935,False
1ix9_1,crystal,0.905,0.095,False
1ixq_2,biological,0.001,0.9990000000000001,False
1iyz_1,crystal,0.993,0.006999999999999999,False
1j1i_1,biological,0.021,0.9790000000000001,False
1j36_3,crystal,0.988,0.012,False
1j8b_1,biological,0.013999999999999999,0.986,False
1j8f_5,crystal,0.503,0.49700000000000005,False
1jbg_1,biological,0.233,0.767,False
1jhe_1,biological,0.20600000000000002,0.794,False
1jil_1,biological,0.154,0.846,False
1jm0_2,biological,0.162,0.838,False
1jog_2,biological,0.043,0.9570000000000001,False
1jqj_9,crystal,0.8690000000000001,0.131,False
1jr9_1,biological,0.032,0.968,False
1jrk_1,biological,0.22899999999999998,0.7709999999999999,False
1juh_9,crystal,0.998,0.002,False
1jye_1,crystal,0.9470000000000001,0.053,False
1k1y_4,crystal,0.9990000000000001,0.001,False
1k46_1,biological,0.494,0.506,False
1k6i_3,crystal,0.7759999999999999,0.22399999999999998,False
1k9a_11,crystal,0.595,0.405,False
1kcm_6,biological,0.175,0.825,False
1kez_1,biological,0.066,0.934,False
1kho_1,crystal,0.865,0.135,False
1khx_2,crystal,0.996,0.004,False
1kie_1,biological,0.083,0.917,False
1kix_3,crystal,0.998,0.002,False
1ktn_1,crystal,0.8220000000000001,0.17800000000000002,False
1ku2_1,biological,0.057999999999999996,0.9420000000000001,False
1ku2_4,biological,0.004,0.996,False
1kut_1,biological,0.159,0.841,False
1kvo_2,biological,0.441,0.5589999999999999,False
1l7c_5,biological,0.2,0.8,False
1lee_3,biological,0.303,0.6970000000000001,False
1lkv_6,biological,0.055,0.945,False
1lvb_5,biological,0.361,0.639,False
1lws_4,crystal,0.9540000000000001,0.046,False
1lyn_1,crystal,0.888,0.11199999999999999,False
1m08_1,crystal,0.9890000000000001,0.011000000000000001,False
1m2a_1,biological,0.005,0.995,False
1m6b_2,crystal,0.636,0.364,False
1m6u_9,crystal,0.982,0.018000000000000002,False
1mft_1,biological,0.078,0.922,False
1mi8_1,crystal,0.992,0.008,False
1mml_2,crystal,0.8440000000000001,0.156,False
1mp9_1,biological,0.061,0.9390000000000001,False
1mqd_4,crystal,0.981,0.019,False
1mvh_1,crystal,1.0,0.0,False
1my7_1,biological,0.03,0.97,False
1n0v_2,crystal,0.752,0.248,False
1nf7_4,crystal,0.615,0.385,False
1nfs_1,biological,0.114,0.8859999999999999,False
1nft_1,crystal,0.9990000000000001,0.001,False
1nft_2,crystal,0.958,0.042,False
1np6_1,biological,0.0,1.0,False
1np8_1,crystal,0.755,0.245,False
1ns5_1,crystal,0.5329999999999999,0.467,False
1nvt_1,biological,0.017,0.983,False
