pdb,F_I-sc,F_dG-cross/dSASAx100,F_dG-separated/dSASAx100,F_dSASA-polar,F_fa-dun,F_fa-intra-rep,F_fa-intra-sol-xover4,F_sc-value
1a17_6,-107.118,-2.259,-1.214,1674.422,845.374,4.148,73.133,0.686
1a3a_1,-38.206,-1.988,-1.138,794.335,576.518,3.226,65.512,0.573
1a7g_1,-70.297,-3.545,-2.34,595.971,345.241,2.619,34.599,0.727
1ac6_1,-27.402,-1.969,62.348,619.321,708.391,2.518,39.33,0.614
1afw_1,-165.342,-3.366,-3.018,2097.998,2574.058,15.242,155.975,0.669
1ail_1,-52.215,-2.595,-2.198,766.855,386.304,1.768,32.841,0.612
1aiz_1,-27.479,-0.471,57.339,164.414,651.561,2.815,47.779,0.673
1alu_1,-50.674,-2.443,81.3,937.178,890.462,4.425,63.602,0.537
1aoh_1,-34.638,-1.908,-1.096,619.034,508.308,3.197,54.709,0.596
1azt_1,-32.662,-1.153,-0.425,1072.66,1619.347,8.002,155.888,0.542
1azw_1,-22.786,-1.663,-0.235,604.29,1949.647,7.86,137.73,0.625
1b0w_1,-39.787,-2.848,20.146,365.993,592.106,2.733,41.072,0.671
1b23_4,-31.225,-1.691,-0.638,975.417,2244.779,10.048,158.62,0.465
1b78_1,-66.525,-3.472,-3.026,599.931,1619.059,6.603,93.401,0.727
1bgf_1,-67.237,-2.832,-1.755,780.845,581.419,3.5,63.678,0.641
1bhm_1,-46.583,-1.922,-1.395,859.344,1392.212,8.171,87.23,0.575
1bjj_9,-13.407,-1.958,608.042,208.559,1084.432,4.026,61.581,0.666
1bjt_1,-107.793,-2.696,-1.515,1791.55,3854.248,18.728,314.729,0.555
1bp6_1,-24.574,-1.879,-1.0,638.409,1973.655,8.674,156.203,0.379
1br1_20,-40.784,-1.724,11.283,513.753,18155.406,1557.249,575.915,0.0
1bs2_4,-34.412,-0.895,0.653,851.489,3283.643,18.018,291.251,0.679
1bws_1,-19.427,-1.233,0.122,431.318,2176.17,10.673,133.151,0.629
1bww_1,-45.399,-3.032,9.347,540.083,505.608,2.488,37.307,0.693
1c16_14,-46.085,-1.838,104.289,993.159,1546.213,8.426,109.921,0.647
1c3g_1,-20.956,-1.949,-1.056,479.898,1254.446,6.124,73.391,0.366
1cd0_1,-40.093,-2.564,50.569,610.492,384.197,2.397,45.968,0.667
1cd8_1,-54.75,-2.506,3.865,582.165,561.446,2.42,43.054,0.697
1cdt_1,-25.181,-2.25,85.738,475.608,583.853,1.649,20.034,0.55
1cp2_1,-46.692,-2.358,-1.937,747.358,1466.54,6.594,105.215,0.562
1cx8_2,-74.222,-1.361,32.184,2329.543,4265.409,20.266,300.995,0.566
1cyy_5,-35.52,-1.3,-0.165,1279.573,1136.614,6.596,94.575,0.39
1d1t_4,-112.805,-3.029,-2.738,1151.752,1493.46,8.376,124.381,0.746
1d5w_2,-34.565,-3.52,-2.993,229.783,500.942,3.194,48.59,0.731
1dd7_1,-33.521,-1.634,0.223,758.9,1682.326,7.958,149.33,0.618
1dgk_1,-54.064,-2.067,-1.512,1105.733,4914.496,23.265,375.844,0.667
1dov_3,-64.016,-2.021,-1.68,1151.468,771.643,5.303,75.155,0.513
1dp4_1,-35.022,-3.073,246.689,320.528,1727.2,10.153,174.353,0.733
1dp4_2,-37.169,-3.271,193.467,329.497,1673.423,9.792,168.006,0.761
1dt9_4,-21.426,-0.766,-0.121,1612.969,3444.546,16.163,193.199,0.522
1dvr_1,-33.242,-0.913,-0.448,973.391,1268.024,5.745,93.231,0.436
1e0r_2,-54.843,-2.136,-1.41,885.422,900.966,3.853,61.413,0.624
1e59_1,-50.146,-3.185,-2.942,650.422,1029.445,6.115,110.796,0.649
1e6c_1,-107.047,-3.444,-3.157,842.56,817.899,3.814,58.463,0.731
1e7n_1,-54.003,-2.795,-2.442,1102.357,388.094,2.087,40.187,0.603
1e85_1,-35.091,-3.107,-2.43,284.973,399.931,2.726,47.114,0.692
1ecx_1,-22.545,-1.934,-0.25,425.897,1598.446,10.464,156.665,0.701
1eeq_1,-38.09,-2.866,7.91,466.337,367.125,2.565,41.871,0.653
1eku_1,-55.742,-1.476,-0.827,1533.196,1689.555,8.593,148.505,0.553
1eqw_2,-32.985,-1.985,59.858,382.662,564.571,2.901,49.771,0.629
1erv_1,-26.289,-2.131,-1.911,493.737,496.905,2.84,41.476,0.638
1esr_1,-28.309,-1.996,89.208,511.502,553.58,3.615,33.983,0.511
1ewj_2,-66.519,-2.042,-1.418,1299.491,967.269,3.428,48.768,0.598
1ex2_1,-31.147,-2.885,53.223,579.262,831.362,4.603,82.55,0.742
1f1c_1,-30.593,-1.863,-1.108,382.501,548.168,3.302,55.188,0.673
1f1g_2,-51.446,-3.603,36.966,486.309,588.144,3.099,57.546,0.739
1f1j_5,-21.625,0.0,0.0,0.0,1293.251,5.815,106.681,0.0
1fcf_6,-33.29,-1.455,23.316,1243.722,3018.964,14.094,141.621,0.494
1fdj_11,-31.04,-1.404,-0.765,958.196,1909.655,8.945,151.441,0.438
1fe0_1,-21.104,-1.792,-0.686,443.902,189.13,1.367,22.613,0.585
1fp3_2,-84.873,-3.255,-2.303,733.781,3387.488,14.296,208.215,0.692
1fp5_1,-46.373,-1.993,129.374,992.922,1008.478,5.217,76.827,0.585
1fpq_1,-201.793,-2.508,-1.609,2012.465,1488.919,8.146,122.59,0.682
1fr1_1,-42.579,-0.848,-0.629,1264.216,2489.849,9.524,142.472,0.506
1fse_3,-28.391,-2.162,-0.895,517.243,466.104,2.363,30.743,0.562
1fu1_8,-27.469,-1.276,0.87,440.572,1329.686,5.597,104.103,0.712
1fux_1,-39.647,-2.402,32.485,654.055,802.809,3.411,53.292,0.72
1fvp_1,-64.911,-1.833,-1.077,1134.476,2440.865,6.721,118.551,0.559
1fzv_1,-89.147,-3.287,24.648,876.286,436.703,2.462,37.755,0.752
1g68_1,-41.543,-1.843,25.771,923.09,872.726,5.88,98.929,0.599
1g73_7,-46.465,-2.046,-1.091,938.085,895.228,4.435,76.239,0.605
1gam_1,-24.817,-2.231,-1.282,476.536,695.584,2.806,39.328,0.46
1gan_1,-43.159,-3.692,-3.35,533.068,735.041,3.135,45.45,0.655
1gcj_1,-54.559,-1.76,0.117,1115.093,2340.307,12.14,203.246,0.534
1ggt_10,-31.681,-1.286,-0.61,1278.99,5810.504,22.461,342.912,0.417
1gmz_1,-27.444,-1.778,270.48,303.844,607.516,4.006,45.287,0.612
1gxd_4,-23.739,-1.097,352.732,1049.934,5311.739,28.563,297.372,0.539
1gyl_1,-26.249,-0.649,0.549,1254.111,3981.278,13.872,154.8,0.398
1gyo_1,-51.236,-4.098,-3.689,466.683,471.158,2.096,46.86,0.831
1h0x_1,-36.699,-2.448,-1.71,476.193,510.321,2.894,33.354,0.619
1h1y_1,-59.707,-3.34,-2.49,656.791,750.197,4.717,81.772,0.761
1h3i_1,-68.595,-2.338,-1.659,972.099,1782.753,7.934,113.316,0.594
1ha4_1,-30.967,-2.806,-1.953,564.232,402.246,2.681,40.892,0.559
1hjr_1,-51.21,-2.63,-0.907,469.008,1601.376,4.591,60.454,0.609
1hlc_1,-35.941,-2.997,-2.535,587.73,848.286,2.978,56.721,0.639
1hq8_1,-66.763,-3.496,54.149,836.778,524.288,2.901,48.835,0.687
1hsj_1,-95.814,-2.194,-1.353,1872.675,3018.687,16.208,241.768,0.594
1hux_1,-29.466,-2.337,-2.294,446.398,1373.821,7.532,90.059,0.743
1hy3_1,-30.007,-3.682,-2.847,445.738,1278.05,7.461,146.603,0.721
1i49_3,-27.534,-1.331,-0.715,687.012,1407.32,5.908,92.555,0.492
1i74_1,-55.961,-3.164,-2.864,684.763,1527.9,8.51,132.911,0.699
1ibd_1,-42.572,-2.556,34.172,417.522,555.257,2.827,52.443,0.527
1ici_5,-50.223,-1.664,-0.693,789.567,1164.595,6.086,106.563,0.518
1ii2_1,-41.117,-3.004,-2.59,453.104,1744.3,11.572,202.776,0.656
1iiw_1,-48.271,-2.185,-1.324,906.758,1049.704,5.591,77.12,0.674
1ijy_1,-43.306,-2.876,171.905,554.152,463.066,2.565,53.983,0.656
1iqc_1,-113.558,-2.853,-2.186,1207.415,1223.321,7.005,139.631,0.696
1is3_1,-56.876,-3.619,-3.289,690.407,625.048,2.946,57.02,0.671
1iug_1,-74.527,-2.043,-0.413,1174.09,1988.668,9.571,140.48,0.634
1ivl_1,-42.762,-2.61,70.795,500.442,702.922,2.76,36.112,0.701
1ix9_1,-45.086,-2.354,-1.51,664.428,679.835,4.141,88.527,0.636
1ixq_2,-59.523,-2.879,-0.958,618.973,1317.607,6.18,102.581,0.686
1iyz_1,-25.68,-1.953,-1.807,525.885,1192.076,7.269,95.867,0.484
1j1i_1,-59.014,-2.883,-2.294,885.797,1124.379,6.824,114.368,0.607
1j36_3,-31.909,-1.183,92.727,1153.584,3896.789,18.414,312.818,0.458
1j8b_1,-60.952,-3.436,0.658,596.12,547.143,2.255,42.735,0.706
1j8f_5,-108.333,-2.295,-1.292,1413.501,1383.087,9.407,136.676,0.669
1jbg_1,-64.992,-2.905,-2.476,654.92,794.891,3.435,53.452,0.607
1jhe_1,-39.148,-2.781,-1.523,598.203,624.625,3.144,54.071,0.497
1jil_1,-55.483,-1.812,-0.845,1798.446,1781.428,9.045,157.606,0.551
1jm0_2,-52.838,-2.687,-1.813,522.278,297.572,1.542,25.735,0.6
1jog_2,-52.995,-2.483,-0.843,533.183,1174.125,5.385,65.619,0.662
1jqj_9,-40.91,-0.94,-0.143,1408.913,2558.874,12.192,152.592,0.484
1jr9_1,-36.598,-2.294,0.567,465.875,1433.746,6.202,96.932,0.642
1jrk_1,-87.259,-2.8,-1.73,1089.428,746.7,4.719,60.214,0.598
1juh_9,-102.239,-2.398,-1.832,1751.278,1018.071,6.857,128.539,0.658
1jye_1,-25.151,-1.82,-1.243,724.088,850.382,6.294,96.693,0.616
1jzo_1,-71.546,-3.903,29.559,668.134,756.386,4.671,85.674,0.692
1k1y_4,-41.178,-1.092,-0.871,1799.724,3681.716,18.774,317.025,0.448
1k46_1,-68.9,-1.531,-0.393,1897.321,448.187,2.99,48.814,0.571
1k6i_3,-38.231,-1.416,-0.153,1004.513,1373.601,7.885,130.135,0.501
1k9a_11,-64.483,-1.73,27.931,1227.286,2248.217,12.034,173.492,0.677
1kcm_6,-58.441,-1.912,-0.948,755.11,1334.148,6.872,126.435,0.457
1kez_1,-45.02,-2.064,-0.886,526.242,1564.069,5.54,104.768,0.572
1kho_1,-50.964,-2.041,-1.451,1194.139,1678.606,8.403,170.932,0.688
1khx_2,-23.425,-1.348,-0.755,875.322,962.541,5.168,80.337,0.567
1kie_1,-47.361,-1.708,0.435,787.888,1259.868,8.557,132.886,0.714
1kix_3,-137.498,-1.939,-1.266,3636.452,1990.694,11.591,202.37,0.646
1ks2_1,-46.422,-2.123,-1.8,1025.83,687.516,4.992,71.632,0.635
1ktn_1,-35.534,-2.985,-2.681,277.317,790.612,5.384,91.92,0.704
1ku2_1,-61.454,-1.32,-0.293,2066.099,1451.486,7.593,120.619,0.563
1ku2_4,-54.056,-2.51,-1.83,736.061,1586.991,7.62,120.142,0.618
1kut_1,-52.125,-2.774,-1.897,591.353,1436.487,7.269,97.159,0.681
1kvo_2,-21.554,-2.695,561.645,377.327,651.75,2.794,54.042,0.685
1l7c_5,-59.893,-2.348,-1.846,945.51,1095.875,5.961,96.035,0.679
1lee_3,-70.668,-1.503,29.739,1168.054,1673.977,9.032,132.749,0.604
1lkv_6,-55.106,-2.216,-0.589,754.445,1838.85,6.3,106.154,0.496
1lvb_5,-76.344,0.0,0.0,0.0,1190.308,6.068,91.992,0.0
1lws_4,-36.523,-1.538,0.232,1310.646,3962.958,17.73,201.064,0.554
1lyn_1,-35.976,-1.804,-0.869,372.038,1103.621,4.821,56.288,0.598
1m08_1,-22.033,-1.723,-1.434,572.251,661.592,3.295,69.663,0.438
1m2a_1,-36.336,-3.143,-2.784,338.157,448.757,2.746,38.933,0.794
