pdb-id,I_DLScoreBC_class,I_p_biological,Training
1ibd_1,biological,0.958,False
1bww_1,biological,0.759,False
4jz2_1,biological,0.783,False
4re8_3,biological,0.849,False
1nfs_1,biological,0.954,False
1to4_1,biological,1.000,False
2pl1_1,crystal,0.198,False
3pyi_1,biological,0.718,False
4mdh_1,biological,0.719,False
3oco_1,biological,0.671,False
2w0l_2,crystal,0.306,False
2ywa_1,crystal,0.462,False
3f8h_1,biological,0.956,False
3teq_3,biological,0.929,False
3teq_1,biological,0.947,False
1qq7_1,biological,0.976,False
3gff_1,crystal,0.377,False
2v3t_1,crystal,0.014,False
1wn2_1,biological,0.984,False
5eo6_1,biological,0.948,False
3hyq_2,biological,0.939,False
1z9p_1,biological,0.994,False
1t0i_1,biological,0.783,True
3bwv_1,biological,0.995,False
2tpt_1,biological,0.992,False
3uro_2,biological,0.815,False
3wpw_1,biological,0.604,False
3n77_3,biological,0.895,False
1v2z_1,biological,0.995,False
4o1r_2,biological,0.845,False
1i74_1,biological,0.516,False
1q7s_3,biological,0.931,False
4rfp_1,crystal,0.232,False
4xas_1,biological,0.518,False
3rtl_6,crystal,0.464,False
1psq_1,biological,0.793,False
2r8q_1,biological,0.998,False
2hjd_1,biological,0.971,False
2cx4_1,crystal,0.498,False
2d13_2,biological,0.895,False
3wud_1,biological,0.988,False
1ixq_2,biological,0.998,False
1slb_2,biological,0.992,False
2r7h_1,biological,0.830,False
3kg7_2,biological,0.560,False
3ljs_1,biological,0.868,False
4o1w_1,crystal,0.025,False
2aca_1,crystal,0.358,False
4a7p_1,biological,0.946,False
2qlx_2,biological,0.902,False
3rbg_2,biological,0.940,False
2nvn_1,biological,0.661,False
1y7y_1,biological,0.961,False
2cc3_1,crystal,0.364,False
3c8j_1,biological,0.893,False
4gmk_1,biological,0.863,True
3lyn_1,biological,0.941,False
3c5q_1,crystal,0.208,False
2zvz_1,biological,0.760,False
1z72_1,biological,0.990,True
1s9c_6,biological,0.973,False
3woi_1,crystal,0.002,False
1sfl_1,biological,0.892,True
1ail_1,biological,0.799,True
2ew2_1,biological,0.959,False
2oai_1,biological,0.874,False
3eul_6,crystal,0.290,False
1np6_1,biological,0.855,False
1m2a_1,biological,0.993,False
3hx8_2,biological,0.829,False
2oik_2,crystal,0.309,True
2e46_1,biological,0.996,False
3l18_1,biological,0.934,False
2jfp_1,crystal,0.334,False
4o9k_1,crystal,0.450,False
2yxz_2,biological,0.991,False
3hh7_1,biological,0.999,False
1m08_1,crystal,0.118,False
2iy2_1,biological,0.910,False
1zsz_1,biological,0.818,False
3clk_1,biological,0.985,True
1oya_1,biological,0.986,False
1wwp_1,biological,0.733,False
1xi3_1,biological,0.621,False
3tzu_1,crystal,0.145,False
1cp2_1,biological,0.865,True
2gpc_1,biological,0.725,True
1fvp_1,biological,0.719,False
4wov_3,crystal,0.044,False
2ogi_1,biological,1.000,False
2wfc_1,biological,0.962,False
4kv9_1,biological,0.566,False
3r8c_1,biological,0.871,False
3lhr_1,biological,0.897,False
5cjj_1,biological,0.596,False
1j8b_1,biological,0.775,False
3crj_1,biological,0.810,False
3dvi_1,biological,0.695,True
1tvd_1,biological,0.948,False
3pc7_1,biological,0.872,False
3cwc_1,biological,0.993,True
4g2e_1,biological,0.832,False
4exo_1,biological,0.989,False
3kcn_1,crystal,0.143,False
4guz_5,biological,0.850,False
3g7p_1,biological,0.975,False
2qrr_1,crystal,0.459,False
3mq4_1,biological,0.933,False
2fhq_1,biological,0.860,True
3w64_1,crystal,0.022,False
3c9g_1,crystal,0.051,False
1eeq_1,crystal,0.278,False
4xws_2,biological,0.693,False
2hk3_1,biological,0.672,False
3hj6_1,biological,0.690,False
1r5q_2,biological,0.995,True
2p5u_1,biological,0.938,False
1uat_2,biological,0.706,False
4d9o_1,biological,0.704,False
4ppy_1,crystal,0.365,False
3eus_1,biological,0.995,False
2a4a_3,biological,0.890,False
1ns5_1,biological,0.937,False
1rcw_2,crystal,0.132,False
4q7e_1,biological,0.570,False
4j9a_11,biological,0.961,False
4ljk_2,crystal,0.039,False
