pdb-id,F_Voronota_glob_light_score,F_Voronota_glob_dark_score,F_Voronota_glob_area,F_Voronota_glob_area_per_atom,F_Voronota_glob_nonprotein_area,F_Voronota_glob_volume,F_Voronota_glob_volume_per_atom,F_Voronota_glob_energy,F_Voronota_glob_energy_norm,F_Voronota_glob_energy_per_atom,F_Voronota_glob_sas_area,F_Voronota_glob_sas_area_per_atom,F_Voronota_glob_sas_energy,F_Voronota_glob_sas_energy_norm,F_Voronota_glob_sas_energy_per_atom,F_Voronota_glob_nonsas_area,F_Voronota_glob_nonsas_area_per_atom,F_Voronota_glob_nonsas_energy,F_Voronota_glob_nonsas_energy_norm,F_Voronota_glob_nonsas_energy_per_atom,F_Voronota_iface_atoms,F_Voronota_iface_atoms_light_score,F_Voronota_iface_area,F_Voronota_iface_energy,F_Voronota_iface_energy_norm,F_Voronota_iface_energy_per_atom,F_Voronota_iface_shelled_energy,F_Voronota_iface_shelled_energy_norm,F_Voronota_iface_shelled_energy_per_atom,F_Voronota_iface_expanded_area,F_Voronota_iface_expanded_energy,F_Voronota_iface_expanded_energy_norm,F_Voronota_iface_expanded_energy_per_atom,F_Voronota_iface_expanded_shelled_energy,F_Voronota_iface_expanded_shelled_energy_norm,F_Voronota_iface_expanded_shelled_energy_per_atom,F_Voronota_split_light_score,F_Voronota_split_dark_score,F_Voronota_split_area,F_Voronota_split_area_per_atom,F_Voronota_split_volume,F_Voronota_split_volume_per_atom,F_Voronota_split_energy,F_Voronota_split_energy_norm,F_Voronota_split_energy_per_atom,F_Voronota_split_sas_area,F_Voronota_split_sas_area_per_atom,F_Voronota_split_sas_energy,F_Voronota_split_sas_energy_norm,F_Voronota_split_sas_energy_per_atom,F_Voronota_split_nonsas_area,F_Voronota_split_nonsas_area_per_atom,F_Voronota_split_nonsas_energy,F_Voronota_split_nonsas_energy_norm,F_Voronota_split_nonsas_energy_per_atom,F_Voronota_diff_glob_light_score,F_Voronota_diff_glob_dark_score,F_Voronota_diff_glob_area,F_Voronota_diff_glob_area_per_atom,F_Voronota_diff_glob_energy,F_Voronota_diff_glob_energy_norm,F_Voronota_diff_glob_energy_per_atom,F_Voronota_diff_glob_volume,F_Voronota_diff_glob_volume_per_atom,F_Voronota_diff_sas_area,F_Voronota_diff_sas_area_per_atom,F_Voronota_diff_sas_energy,F_Voronota_diff_sas_energy_norm,F_Voronota_diff_sas_energy_per_atom,F_Voronota_diff_nonsas_area,F_Voronota_diff_nonsas_area_per_atom,F_Voronota_diff_nonsas_energy,F_Voronota_diff_nonsas_energy_norm,F_Voronota_diff_nonsas_energy_per_atom,Training
1a17_6,0.39249,0.59509,33290.7,12.99403,0,63046.7,24.60839,-6364.07,-0.19117,-2.48402,17047.6,6.65402,-1801.53,-0.10568,-0.70317,16243.1,6.34001,-4562.54,-0.28089,-1.78085,492,0.40244,2047.23,-973.49,-0.47552,-0.37997,-1007.71,-0.49223,-0.39333,4569.09,-1265.66,-0.277,-0.49401,-1610.82,-0.35255,-0.62874,0.33142,0.56592,36100.7,14.09083,66589,25.99102,-5101.39,-0.14131,-1.99117,21251.3,8.29481,-1216.3,-0.05723,-0.47475,14849.4,5.79602,-3885.09,-0.26163,-1.51643,0.06107,0.02917,-2810,-1.0968,-1262.68,-0.04986,-0.49285,-3542.3,-1.38263,-4203.7,-1.64079,-585.23,-0.04844,-0.22843,1393.7,0.54399,-677.45,-0.01926,-0.26442,0
1a3a_1,0.53803,0.69434,27576.3,12.2019,0,54497.2,24.11381,-7467.66,-0.2708,-3.30427,12863.4,5.69177,-1617.51,-0.12575,-0.71571,14712.9,6.51013,-5850.15,-0.39762,-2.58856,218,0.43935,901.471,-380.516,-0.42211,-0.16837,-392.856,-0.43579,-0.17383,2270.95,-679.71,-0.29931,-0.30076,-755.974,-0.33289,-0.3345,0.51427,0.68111,28767.8,12.72912,55897.6,24.73345,-7017.63,-0.24394,-3.10515,14769.9,6.53535,-1493.75,-0.10113,-0.66095,13997.9,6.19376,-5523.88,-0.39462,-2.44419,0.02376,0.01323,-1191.5,-0.52721,-450.03,-0.02686,-0.19913,-1400.4,-0.61965,-1906.5,-0.84358,-123.76,-0.02461,-0.05476,715,0.31637,-326.27,-0.003,-0.14437,0
1a7g_1,0.5183,0.683,16535.3,12.56482,0,32323.4,24.56185,-3276.97,-0.19818,-2.4901,8715.92,6.62304,371.893,0.04267,0.28259,7819.38,5.94178,-3648.863,-0.46664,-2.77269,256,0.63215,911.465,-552.121,-0.60575,-0.41954,-568.344,-0.62355,-0.43187,2168.16,-436.163,-0.20117,-0.33143,-774.278,-0.35711,-0.58836,0.43677,0.63551,17688.7,13.44126,33954.9,25.8016,-2256.32,-0.12756,-1.71453,10585,8.04331,958.562,0.09056,0.72839,7103.7,5.39795,-3214.882,-0.45256,-2.44292,0.08153,0.04749,-1153.4,-0.87644,-1020.65,-0.07062,-0.77557,-1631.5,-1.23974,-1869.08,-1.42027,-586.669,-0.04789,-0.4458,715.68,0.54383,-433.981,-0.01408,-0.32977,0
1ac6_1,0.58797,0.73114,20742.3,12.13,0,41277.9,24.13912,-5331.03,-0.25701,-3.11756,10556.2,6.17322,-802.868,-0.07606,-0.46951,10186.1,5.95678,-4528.162,-0.44454,-2.64805,164,0.58652,575.894,-237.042,-0.41161,-0.13862,-261.599,-0.45425,-0.15298,1498.56,-271.89,-0.18143,-0.159,-402.89,-0.26885,-0.23561,0.55191,0.72559,21510.9,12.57947,42193,24.67427,-4876.31,-0.22669,-2.85164,11780.7,6.8893,-487.757,-0.0414,-0.28524,9730.2,5.69018,-4388.553,-0.45102,-2.56641,0.03606,0.00555,-768.6,-0.44947,-454.72,-0.03032,-0.26592,-915.1,-0.53515,-1224.5,-0.71608,-315.111,-0.03465,-0.18428,455.9,0.26661,-139.609,0.00648,-0.08164,0
1afw_1,0.52786,0.69003,65759.5,11.19501,0,133638,22.75077,-16828.7,-0.25591,-2.86495,25731.7,4.38061,-1377.68,-0.05354,-0.23454,40027.8,6.8144,-15451.02,-0.38601,-2.63041,602,0.46486,2405.07,-844.278,-0.35104,-0.14373,-854.482,-0.35528,-0.14547,4363.67,-869.089,-0.19916,-0.14796,-1159.26,-0.26566,-0.19735,0.50398,0.66802,69013.4,11.74896,137834,23.4651,-15396.9,-0.2231,-2.6212,30628.6,5.21427,-562.925,-0.01838,-0.09583,38384.8,6.5347,-14833.975,-0.38645,-2.52536,0.02387,0.02201,-3253.9,-0.55395,-1431.8,-0.03281,-0.24375,-4196,-0.71433,-4896.9,-0.83366,-814.755,-0.03516,-0.13871,1643,0.27971,-617.045,0.00045,-0.10505,0
1ail_1,0.51721,0.67581,15044.7,13.48091,0,28468.2,25.50914,-3620.97,-0.24068,-3.2446,8076.31,7.23684,-698.771,-0.08652,-0.62614,6968.39,6.24408,-2922.199,-0.41935,-2.61846,230,0.64219,994.936,-805.99,-0.81009,-0.72221,-834.813,-0.83906,-0.74804,2013.36,-892.285,-0.44318,-0.79954,-1198.31,-0.59518,-1.07375,0.36088,0.61409,16414.4,14.70824,30104,26.97491,-2404.62,-0.14649,-2.15468,10152.3,9.09704,-94.0209,-0.00926,-0.08425,6262.1,5.6112,-2310.5991,-0.36898,-2.07043,0.15633,0.06173,-1369.7,-1.22733,-1216.35,-0.09419,-1.08992,-1635.8,-1.46577,-2075.99,-1.86021,-604.7501,-0.07726,-0.54189,706.29,0.63288,-611.5999,-0.05037,-0.54803,0
1aiz_1,0.56176,0.72057,23947.2,12.25548,0,47642,24.38178,-6075.52,-0.2537,-3.10927,11751.1,6.01387,-651.082,-0.05541,-0.3332,12196.1,6.24161,-5424.438,-0.44477,-2.77607,107,0.53453,493.547,-400.532,-0.81154,-0.20498,-400.604,-0.81168,-0.20502,1261.39,-242.194,-0.19201,-0.12395,-480.61,-0.38102,-0.24596,0.52792,0.70303,24591.4,12.58516,48379,24.75896,-5482.41,-0.22294,-2.80574,12782.3,6.54161,-350.979,-0.02746,-0.17962,11809.1,6.04355,-5131.431,-0.43453,-2.62612,0.03384,0.01754,-644.2,-0.32968,-593.11,-0.03076,-0.30354,-737,-0.37718,-1031.2,-0.52774,-300.103,-0.02795,-0.15358,387,0.19806,-293.007,-0.01024,-0.14995,0
1alu_1,0.50825,0.66972,31949.4,12.65824,0,62224,24.65293,-6918.3,-0.21654,-2.74101,15550.4,6.16101,-699.71,-0.045,-0.27722,16399,6.49723,-6218.59,-0.37921,-2.46378,236,0.33359,993.873,-167.206,-0.16824,-0.06625,-158.258,-0.15923,-0.0627,2056.22,-205.795,-0.10008,-0.08154,-236.173,-0.11486,-0.09357,0.51312,0.6633,33273,13.18265,63869,25.30468,-7037.47,-0.21151,-2.78822,17624.5,6.98277,-984.131,-0.05584,-0.38991,15648.5,6.19988,-6053.339,-0.38683,-2.39831,-0.00487,0.00643,-1323.6,-0.52441,119.17,-0.00503,0.04721,-1645,-0.65174,-2074.1,-0.82175,284.421,0.01084,0.11269,750.5,0.29735,-165.251,0.00763,-0.06547,0
1aoh_1,0.60178,0.72802,25702.8,12.08406,0,51074.5,24.01246,-6477.7,-0.25202,-3.04546,12447.1,5.85195,633.154,0.05087,0.29767,13255.7,6.23211,-7110.854,-0.53644,-3.34314,150,0.69906,598.886,-278.961,-0.4658,-0.13115,-309.51,-0.51681,-0.14551,1414.26,-263.569,-0.18637,-0.12392,-423.69,-0.29958,-0.1992,0.57853,0.71742,26510.5,12.4638,52071.1,24.48101,-6242.5,-0.23547,-2.93488,13703.8,6.44278,678.504,0.04951,0.319,12806.7,6.02102,-6921.004,-0.54042,-3.25388,0.02325,0.0106,-807.7,-0.37974,-235.2,-0.01655,-0.11058,-996.6,-0.46855,-1256.7,-0.59083,-45.35,0.00136,-0.02132,449,0.2111,-189.85,0.00398,-0.08926,0
1azt_1,0.51435,0.64584,68001.2,12.23703,0,135861,24.44862,-14874.6,-0.21874,-2.67673,32165.2,5.78823,-295.828,-0.0092,-0.05324,35836,6.4488,-14578.772,-0.40682,-2.6235,305,0.45801,1217.82,-364.158,-0.29902,-0.06553,-346.178,-0.28426,-0.0623,3360.5,-843.426,-0.25098,-0.15178,-830.912,-0.24726,-0.14953,0.50968,0.64138,69593.5,12.52357,137713,24.7819,-14929.4,-0.21452,-2.68659,34797.9,6.26199,-647.422,-0.01861,-0.11651,34795.6,6.26158,-14281.978,-0.41045,-2.57009,0.00467,0.00445,-1592.3,-0.28654,54.8,-0.00422,0.00986,-1852,-0.33327,-2632.7,-0.47376,351.594,0.00941,0.06327,1040.4,0.18722,-296.794,0.00363,-0.05341,0
