pdb_id,I_QSscore_top,I_QSscore_top_multimer_ranking,I_QSscore_top_plddt,I_QSscore_top_ptm,I_QSscore_top_pae_inter_chain,I_QSscore_top_iptm,I_DockQ_top
1a17_6,0.6689902364891381,0.5357356411571689,0.5405750732391641,0.6465503591589451,0.6459815972482478,0.5357356411571689,0.407
1a3a_1,0.7421431937006164,0.7421431937006164,0.7156629458677175,0.7421431937006164,0.7279053603914589,0.7421431937006164,0.506
1a7g_1,0.9546680445758435,0.9378747294249054,0.9378747294249054,0.9378747294249054,0.9420217043627007,0.9378747294249054,0.851
1ac6_1,0.9410866874731065,0.876118727628652,0.876118727628652,0.876118727628652,0.9410866874731065,0.876118727628652,0.873
1afw_1,0.9395523292819432,0.9127344493594446,0.9139322624761267,0.9127344493594446,0.9351533223034565,0.9127344493594446,0.865
1ail_1,0.9370497614144091,0.9365206120952491,0.9365206120952491,0.9323649913541782,0.9344273701652038,0.9365206120952491,0.939
1aiz_1,0.33155847278367934,0.14537833412643206,0.14537833412643206,0.14537833412643206,0.016211704951698547,0.14537833412643206,0.167
1alu_1,0.10577771664207473,0.01727782361162893,0.01727782361162893,0.01727782361162893,0.10577771664207473,0.01727782361162893,0.185
1aoh_1,0.9670679593369359,0.9626222048915674,0.9670306199663189,0.9626222048915674,0.9570634138041927,0.9626222048915674,0.945
1azt_1,0.007971624961945254,0.0,0.0,0.0,0.007971624961945254,0.0,0.019
1azw_1,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1b0w_1,0.9726758574208135,0.9677769910487345,0.9719069504113483,0.9677769910487345,0.9637073762238912,0.9677769910487345,0.915
1b23_4,0.05671707268626582,0.05671707268626582,0.0,0.05671707268626582,0.0018201565150284687,0.05671707268626582,0.125
1b78_1,0.9750874907601762,0.9750539444158507,0.9728831526981458,0.9750539444158507,0.9745164698859519,0.9750539444158507,0.927
1bgf_1,0.8790992733975482,0.8779808341586062,0.8779808341586062,0.8779808341586062,0.8520736516273605,0.8779808341586062,0.708
1bhm_1,0.9448132750067364,0.9318821735784897,0.9029474765079543,0.9318821735784897,0.8812027745704631,0.9318821735784897,0.738
1bjj_9,0.0,0.0,0.0,0.0,0.0,0.0,0.015
1bjt_1,0.23735082828308773,0.2243541155130532,0.2243541155130532,0.2243541155130532,0.20935177271936983,0.2243541155130532,0.221
1bp6_1,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1br1_20,0.018316994052223017,0.008460634407754405,0.003358009509557005,0.003358009509557005,0.0015308775956115338,0.008460634407754405,0.049
1bs2_4,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1bws_1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1bww_1,0.9693270515408808,0.9682653927992083,0.9682653927992083,0.9682653927992083,0.9351892483411015,0.9682653927992083,0.946
1c16_14,0.0,0.0,0.0,0.0,0.0,0.0,0.01
