File,I_Proba_Consensus,F_SOAP,F_Network_full,F_Network_binding_0,F_Network_binding_1,F_FireDockScore,TrainingColumn,Source
1a17_6.pdb,0.99183655,-6801.003000000002,-3361.6487,-2.017854029381628,-2.0178077161736527,-123.25,1,Dunbrack
1a3a_1.pdb,0.43739837,-1790.836,-1939.5256,-3.7382085139731616,-4.3630000444721855,-57.06,1,QSbio
1a7g_1.pdb,0.98797715,-3121.533,-2564.71,-3.300777564059333,-3.3472301237975755,-94.75,1,QSbio
1ac6_1.pdb,0.15095833,-1336.375,-1747.237,-3.0078647585283815,-2.9001565389946284,-41.33,1,QSbio
1afw_1.pdb,0.9925936,-5370.681,-7231.2866,-8.675069124049397,-8.18931543965407,-216.87,1,QSbio
1ail_1.pdb,0.989351,-3072.117,-2978.4612,-2.038323703626682,-2.030498369622756,-106.8,1,QSbio
1aiz_1.pdb,0.06921521,-1147.555,-1471.846,-1.4359686538523968,-1.8318074687380421,-21.26,0,QSbio
1alu_1.pdb,0.008809427,-1109.503,-185.78148,0.16891189907089027,0.16172661630888222,11.21,0,Dunbrack
1aoh_1.pdb,0.06213628,-2323.847,-1525.0166,-0.7010691859969371,0.1911416006236024,1931.42,0,QSbio
1azt_1.pdb,0.08236617,-3319.6059999999998,-764.4372599999998,-2.3087261128425305,-1.9076632202764008,-9.08,1,Dunbrack
1azw_1.pdb,0.01091972,-640.925,-616.9231599999998,-1.4891217857873325,-1.7211214181843726,4.2,0,QSbio
1b0w_1.pdb,0.57045704,-1987.4260000000002,-1796.4626,-3.168749611503897,-3.1803826985873904,-66.54,0,QSbio
1b23_4.pdb,0.005142376,-1147.765,-44.365025,-1.309495573058582,-1.3095027525177585,-18.69,0,Dunbrack
1b78_1.pdb,0.56966287,-3738.094,-1639.2837,-3.653696733778332,-3.5469408146196257,-100.25,0,QSbio
1bgf_1.pdb,0.6529541,-3929.0559999999996,-1567.667,-1.8179012725655848,-1.8196136819141024,-131.16,1,QSbio
1bhm_1.pdb,0.6165988,-3223.367,-1872.3341,-3.5954245099978133,-3.7019243709327103,-39.49,0,QSbio
1bjj_9.pdb,0.0031578266,-411.902,334.65454,0.7609016520954404,1.4434487167869636,21.41,0,QSbio
1bjt_1.pdb,0.92455184,-5567.905,-2823.0273,-2.2421691201316096,-2.2401416226425286,-123.96,0,QSbio
1bp6_1.pdb,0.0028554515000000003,-1513.986,845.7579300000001,4.96617384688597,4.7484219220686255,7.74,1,QSbio
1br1_20.pdb,0.018835604,-981.433,-984.648,-4.571379486317512,-4.189452186919265,334.54,1,Dunbrack
1bs2_4.pdb,0.2746336,-2290.109,-1464.5663,-5.308584721683748,-5.308562781672326,-22.08,0,Dunbrack
1bws_1.pdb,0.004663743,-725.8380000000003,-201.9385,4.568682222619831,7.968081478923018,0.09,0,QSbio
1bww_1.pdb,0.3732768,-1667.723,-1728.7654,-3.0353868755310844,-2.451390189643776,-55.19,0,QSbio
1c16_14.pdb,0.60522836,-2985.122000000001,-1763.2089,0.9206349802261988,1.0043560021639009,-33.89,1,Dunbrack
1c3g_1.pdb,0.0062383683,-1341.421,161.81778,2.726396001042195,1.2414746122642597,-20.29,1,QSbio
1cd0_1.pdb,0.3852271,-2223.817,-2247.1477,-3.535869138809056,-2.9406135427464664,3559.89,0,QSbio
1cd8_1.pdb,0.98984706,-3343.949,-2813.9985,-4.355466964157968,-4.239223139445897,-81.92,0,QSbio
1cdt_1.pdb,0.020421643,-708.3860000000003,-745.2271,-1.9230273760506884,-1.1771740661079917,-33.82,0,QSbio
1cp2_1.pdb,0.66895336,-1884.473,-2717.8882,-5.0771388497377234,-3.6503498540623527,-48.44,1,QSbio
1cx8_2.pdb,0.25450608,-6637.0769999999975,-1861.4497,-2.8702022992182012,-2.816958468241272,-107.95,1,Dunbrack
1cyy_5.pdb,0.017138502,-1588.0739999999994,-99.158646,-2.1728061463779227,-2.209418440126554,-23.98,1,Dunbrack
1d1t_4.pdb,0.9925221,-5598.299,-4393.1284,-7.680184949360322,-7.264944230454107,-175.73,0,QSbio
1d5w_2.pdb,0.04383251,-862.497,-1102.1752,-2.9504035857769715,-3.131429199953267,-15.45,0,QSbio
1dd7_1.pdb,0.044484437,-1824.731,-718.1081,-0.7815692790721169,0.5732271506742369,-33.36,0,QSbio
1dgk_1.pdb,0.07703382,-2595.073,-589.15436,-4.346747182671602,-4.344860748137828,-13.45,0,Dunbrack
1dov_3.pdb,0.06395155,-1609.5870000000002,-750.62103,3.8983635768202056,3.90707970840858,-8.18,0,Dunbrack
1dp4_1.pdb,0.093765415,-2053.31,-1700.7308,-4.986250012222844,-4.98557092590199,2672.2,1,QSbio
1dp4_2.pdb,0.08434928,-2011.3329999999999,-1657.0934,-4.155424205854254,-4.153472452764452,2637.43,1,QSbio
1dt9_4.pdb,0.016750509,-1658.029,-423.33377,-0.8388185957196749,-0.8373013136105067,22.38,0,Dunbrack
1dvr_1.pdb,0.028678948,-1743.275,-377.61227,-2.2019374493990336,-1.4732880900563408,-1.05,1,QSbio
1e0r_2.pdb,0.06302612,-1549.33,-1230.732,-1.7309837047133845,-1.8253373492734863,-44.98,1,Dunbrack
1e59_1.pdb,0.22486977,-2187.257,-1610.1255,-3.24791155435491,-3.24935181877262,-46.28,0,QSbio
1e6c_1.pdb,0.9919885,-4660.938,-2940.1748,-1.7031174793638804,-1.8139237089852047,-133.81,0,Dunbrack
1e7n_1.pdb,0.10329388,-1224.961,-1456.6504,-2.26870971326267,-1.4139669684889369,-80.75,1,QSbio
1e85_1.pdb,0.14191706,-2032.535,-1267.2296,-2.883342327586937,-2.9392156462683268,-67.48,0,QSbio
1ecx_1.pdb,0.0064350083,-1041.632,-279.3514,3.070005893908246,5.033066205478539,-17.12,0,QSbio
1eeq_1.pdb,0.5380268,-1915.67,-1744.0798,-3.6610158870478777,-3.5772223975220268,-73.53,0,QSbio
1eku_1.pdb,0.6546677,-4002.2129999999997,-1460.5184,-3.554924219779054,-3.3557133334889766,-60.4,1,Dunbrack
1eqw_2.pdb,0.44634038,-3099.965,-1569.1165,-1.3404698686951322,-2.0057401459489865,-66.4,1,QSbio
1erv_1.pdb,0.13216907,-1348.223,-1633.9188,-2.8238751468142174,-2.82761291407575,-26.52,0,QSbio
1esr_1.pdb,0.03735222,-1812.754,-597.01984,4.968074922024674,4.949819386692754,-35.13,0,QSbio
1ewj_2.pdb,0.99194086,-2408.074,-3056.2373,-1.9293712294211456,-2.015929558244148,-163.19,0,QSbio
