pdb,label,prob1
1a17_6,0,0.31
1a3a_1,1,0.904
1a7g_1,1,0.976
1ac6_1,1,0.882
1afw_1,1,0.674
1ail_1,1,0.906
1aiz_1,1,0.946
1alu_1,0,0.334
1aoh_1,1,0.87
1azt_1,0,0.118
1azw_1,0,0.106
1b0w_1,1,0.984
1b23_4,0,0.0
1b78_1,1,0.966
1bgf_1,1,0.684
1bhm_1,1,0.796
1bjj_9,1,0.318
1bjt_1,0,0.372
1bp6_1,0,0.054
1br1_20,0,0.02
1bs2_4,0,0.0
1bws_1,0,0.048
1bww_1,1,0.996
1c16_14,0,0.298
1c3g_1,0,0.506
1cd0_1,1,0.978
1cd8_1,1,0.86
1cdt_1,1,0.946
1cp2_1,1,0.616
1cx8_2,0,0.026
1cyy_5,0,0.0
1d1t_4,1,0.442
1d5w_2,1,0.988
1dd7_1,0,0.31
1dgk_1,0,0.006
1dov_3,0,0.264
1dp4_1,1,0.91
1dp4_2,1,0.94
1dt9_4,0,0.0
1dvr_1,1,0.062
1e0r_2,0,0.502
1e59_1,1,0.982
1e6c_1,0,0.406
1e7n_1,1,0.956
1e85_1,1,0.954
1ecx_1,0,0.178
1eeq_1,1,0.974
1eku_1,0,0.138
1eqw_2,1,0.964
1erv_1,1,0.922
1esr_1,0,0.834
1ewj_2,1,0.396
1ex2_1,0,0.756
1f1c_1,1,0.9
1f1g_2,1,0.976
1f1j_5,0,0.244
1fcf_6,0,0.03
1fdj_11,0,0.016
1fe0_1,1,0.822
1fp3_2,0,0.488
1fp5_1,1,0.776
1fpq_1,0,0.242
1fr1_1,0,0.0
1fse_3,1,0.978
1fu1_8,0,0.252
1fux_1,1,0.876
1fvp_1,1,0.128
1fzv_1,1,0.532
1g68_1,0,0.188
1g73_7,0,0.332
1gam_1,1,0.876
1gan_1,1,0.88
1gcj_1,0,0.048
1ggt_10,0,0.03
1gmz_1,1,0.938
1gxd_4,0,0.002
1gyl_1,0,0.036
1gyo_1,1,0.774
1h0x_1,1,0.962
1h1y_1,1,1.0
1h3i_1,0,0.346
1ha4_1,1,0.842
1hjr_1,1,0.95
1hlc_1,1,0.972
1hq8_1,1,0.416
1hsj_1,0,0.102
1hux_1,1,0.916
1hy3_1,1,0.434
1i49_3,0,0.064
1i74_1,1,0.922
1ibd_1,1,0.978
1ici_5,0,0.15
1ii2_1,1,0.82
1iiw_1,1,0.386
1ijy_1,0,0.966
1iqc_1,1,0.266
1is3_1,1,0.988
1iug_1,1,0.142
1ivl_1,1,0.99
1ix9_1,1,0.932
1ixq_2,1,0.882
1iyz_1,0,0.634
1j1i_1,1,0.914
1j36_3,0,0.026
1j8b_1,1,0.998
1j8f_5,0,0.364
1jbg_1,1,0.784
1jhe_1,1,0.976
1jil_1,0,0.006
1jm0_2,1,0.998
1jog_2,1,0.878
1jqj_9,0,0.012
1jr9_1,1,0.944
1jrk_1,1,0.642
1juh_9,0,0.356
1jye_1,0,0.112
1jzo_1,1,0.962
1k1y_4,0,0.008
1k46_1,0,0.056
1k6i_3,0,0.036
1k9a_11,0,0.024
1kcm_6,0,0.154
1kez_1,1,0.842
1kho_1,0,0.166
1khx_2,0,0.12
1kie_1,1,0.44
1kix_3,0,0.228
1ks2_1,1,0.824
1ktn_1,1,0.946
1ku2_1,0,0.216
1ku2_4,0,0.716
1kut_1,1,0.952
1kvo_2,0,0.89
1l7c_5,0,0.448
1lee_3,0,0.088
1lkv_6,0,0.44
1lvb_5,0,0.442
1lws_4,0,0.0
1lyn_1,1,0.922
1m08_1,1,0.146
1m2a_1,1,0.976
1m6b_2,0,0.062
1m6u_9,0,0.168
1mft_1,1,0.42
1mi8_1,1,0.904
1mml_2,0,0.13
1mp9_1,1,0.242
1mqd_4,1,0.368
1mvh_1,0,0.098
1my6_1,1,0.972
1my7_1,1,0.986
1n0v_2,0,0.0
1nf7_4,0,0.322
1nfs_1,1,0.986
1nft_1,0,0.04
1nft_2,0,0.01
1np6_1,1,0.512
1np8_1,0,0.45
1ns5_1,1,0.692
1nvt_1,1,0.512
1nzi_1,1,0.58
1o12_1,1,0.456
1o64_1,1,0.822
1o6d_2,1,0.702
1o92_2,0,0.0
1obb_1,1,0.192
1ohq_1,1,0.962
1okj_1,1,0.87
1or3_7,0,0.206
1ors_10,0,0.562
1ov4_1,1,0.77
1ovn_1,1,0.946
1oya_1,1,0.88
1p35_11,0,0.008
1p8l_1,0,0.004
1pcz_1,0,0.354
1pd5_26,0,0.024
1poe_1,0,0.358
1pp3_2,0,0.074
1prx_1,1,0.838
1psa_1,0,0.008
1psq_1,1,0.94
1pxv_1,0,0.148
1q1e_2,0,0.128
1q1n_1,1,0.16
1q4j_1,0,0.58
1q7s_3,1,0.888
1q98_1,1,0.974
1qex_1,0,0.216
1qex_6,0,0.032
1qg7_1,1,1.0
1qhm_4,0,0.018
1qhq_3,1,0.872
1qkd_1,1,0.752
1qmj_1,1,0.99
1qpg_1,0,0.002
1qq7_1,1,0.55
1qrd_1,0,0.042
1qto_1,1,0.568
1qvt_19,0,0.142
1qvw_1,1,0.846
1qxh_1,1,0.95
1qya_1,1,0.954
1r5q_2,1,0.92
1r7j_1,1,0.938
1rcw_2,1,0.818
1rfy_1,1,0.992
1rk4_1,0,0.768
1rkr_5,1,0.978
1rp5_3,0,0.0
1rpa_1,1,0.456
1rtv_1,0,0.93
1rz6_2,1,0.344
1s9c_6,1,0.936
1s9p_1,1,0.346
1s9p_5,0,0.646
1se8_1,0,0.134
1sfl_1,1,0.988
1sfr_4,1,0.962
1si5_3,0,0.31
1slb_2,1,0.92
1som_1,0,0.022
1srr_1,1,0.88
1sw2_4,0,0.006
1sxs_1,1,0.984
1syq_8,0,0.508
1t0i_1,1,0.192
1t1e_2,0,0.006
1t1l_1,0,0.386
1t3w_1,0,0.336
1taq_5,0,0.006
1tf5_1,0,0.002
1tfg_1,1,0.556
1tmk_1,1,0.984
1to0_3,1,0.902
1to4_1,1,0.966
1tvd_1,1,0.992
1txn_1,0,0.174
1tz3_1,1,0.936
1u07_1,0,0.548
1u20_1,1,0.752
1u2j_24,0,0.266
1u3z_1,1,0.934
1u4m_1,1,0.994
1uat_2,1,0.932
1ud0_7,0,0.106
1udv_1,1,0.938
1uer_2,1,0.986
1ujk_3,0,0.278
1ujn_1,1,0.924
1ukg_1,1,0.89
1uou_1,1,0.96
1usm_1,1,0.988
1uvz_3,1,0.972
1v2a_1,1,0.34
1v2z_1,1,0.978
1v4t_4,0,0.096
1v4v_1,1,0.632
1v98_2,1,0.896
1vez_2,1,0.95
1vg9_2,0,0.326
1vh0_8,1,0.604
1vic_7,0,0.096
1vok_6,0,0.012
1vpl_1,0,0.086
1vqu_1,1,0.974
1vr0_1,1,0.926
1wac_4,0,0.004
1wlg_3,0,0.11
1wn2_1,1,0.98
1wtc_1,0,0.348
1wwp_1,1,0.906
1x1p_3,0,0.24
1xef_2,1,0.076
1xew_4,0,0.064
1xi1_1,0,0.0
1xi3_1,1,0.992
1xkv_1,0,0.012
1xkz_2,1,0.178
1xrc_5,0,0.034
1xre_1,1,0.996
1xso_1,1,0.988
1xsv_1,1,0.842
1xty_2,1,0.948
1xub_1,0,0.034
1xuq_1,1,0.96
1xur_1,0,0.304
1xvq_2,1,0.682
1xwb_5,1,0.898
1y67_1,1,0.938
1y6h_3,0,0.45
1y7h_2,1,0.918
1y7y_1,1,1.0
1yad_2,1,0.998
1yae_9,1,0.184
1ybz_2,1,0.23
1ye5_1,1,0.466
1yem_1,1,0.996
1yln_1,0,0.048
1ysj_1,1,0.6
1yv9_1,0,0.106
1yvl_4,0,0.258
1z72_1,1,0.98
1z9p_1,1,0.992
1zbh_2,0,0.026
1zbr_1,1,0.708
1zc6_1,0,0.17
1zcj_3,0,0.0
1zh2_1,1,0.942
1zjj_1,1,0.792
1zlj_1,1,0.902
1zp7_1,1,0.728
1zsz_1,1,0.888
1zxk_1,1,0.726
1zy2_1,1,0.952
1zzh_2,1,0.204
2a4a_3,1,0.862
2a67_2,1,0.69
2a8f_1,1,0.922
2ac1_3,0,0.0
2aca_1,1,0.528
2ahm_21,0,0.248
2ajq_9,0,0.066
2aps_1,1,0.984
2ar8_1,0,0.062
2axi_3,0,0.28
2b0u_18,0,0.002
2b5a_1,1,0.996
2b7l_1,1,0.96
2b8h_6,0,0.078
2bbh_4,0,0.396
2bde_2,0,0.024
2bdm_2,0,0.0
2bdq_1,1,0.82
2bej_1,0,0.792
2bhm_2,1,0.522
2bho_1,1,0.752
2bm5_1,1,0.968
2bpd_1,0,0.848
2brv_1,0,0.0
2c2x_1,1,0.554
2c9s_1,1,0.988
2cc3_1,1,0.786
2cd0_1,1,0.89
2ctx_1,1,0.898
2cw2_1,1,0.986
2cw3_1,1,0.87
2cx4_1,1,0.912
2d13_2,1,0.908
2d4h_1,0,0.034
2dc4_1,1,1.0
2dh6_1,0,0.052
2dou_1,1,0.62
2dpf_1,1,0.694
2dql_1,1,0.97
2dsj_1,1,0.812
2dvn_1,0,0.334
2dwu_1,1,0.248
2dwy_6,0,0.288
2e1d_1,1,0.584
2e2c_1,1,0.906
2e46_1,1,0.192
2eav_1,1,0.612
2ebb_1,1,0.992
2ecf_1,1,0.348
2egu_3,0,0.898
2ejn_1,0,0.864
2ekz_1,0,0.232
2eo0_1,1,0.978
2erc_1,0,0.02
2ew2_1,1,0.96
2ewt_1,1,0.998
2f00_1,1,0.09
2f1m_2,0,0.172
2f1z_5,0,0.142
2f5e_1,1,0.594
2f6s_1,1,0.78
2f96_1,1,0.628
2f9q_2,0,0.006
2f9q_3,0,0.362
2fca_1,1,0.952
2fco_1,1,0.89
2ffv_3,0,0.0
2fhq_1,1,0.792
2fj2_2,1,0.894
2fn1_1,1,0.958
2fuc_1,1,0.578
2fv7_1,0,0.122
2g0h_1,0,0.018
2g3k_8,0,0.892
2g3p_1,0,0.238
2g45_2,0,0.564
2g7p_1,0,0.022
2gd5_1,0,0.124
2gff_1,1,0.892
2goj_1,1,0.946
2gpc_1,1,0.948
2gs2_1,0,0.858
2gsl_3,1,0.846
2gwh_1,1,0.746
2gz6_1,1,0.198
2h2w_1,1,0.43
2h8k_1,1,0.824
2h9u_1,1,0.898
2ha7_1,0,0.176
2hb0_1,0,0.042
2hjd_1,1,0.972
2hk3_1,1,0.752
2hku_1,1,0.586
2hng_1,1,0.952
2hzb_1,1,0.692
2i45_4,1,0.976
2i5p_1,1,0.798
2i6a_2,0,0.254
2i7p_1,0,0.046
2i91_1,0,0.0
2i9z_1,1,0.988
2ibm_4,0,0.126
