pdb_id,is_levy,is_physio,len_seq,model_id,DockQ,iptm
1a17_6,False,False,166,model_5_multimer,0.407,0.619817852973938
1a3a_1,True,True,148,model_2_multimer,0.506,0.6454553604125977
1a7g_1,True,True,82,model_3_multimer,0.851,0.7824815511703491
1ac6_1,True,True,110,model_4_multimer,0.873,0.6785947680473328
1afw_1,True,True,393,model_5_multimer,0.865,0.9595721364021301
1ail_1,True,True,73,model_5_multimer,0.939,0.9166287183761597
1aiz_1,True,True,129,model_3_multimer,0.167,0.2637876570224762
1alu_1,False,False,186,model_3_multimer,0.185,0.10398498177528381
1aoh_1,True,True,147,model_4_multimer,0.945,0.8681464791297913
1azt_1,False,False,402,model_2_multimer,0.019,0.12883993983268738
1azw_1,True,False,313,model_3_multimer,0.01,0.9352855682373047
1b0w_1,True,True,108,model_1_multimer,0.915,0.8841843605041504
1b23_4,False,False,405,model_2_multimer,0.125,0.2100222110748291
1b78_1,True,True,193,model_2_multimer,0.927,0.8631429672241211
1bgf_1,True,True,124,model_4_multimer,0.708,0.8519846200942993
1bhm_1,True,True,213,model_1_multimer,0.738,0.8035886287689209
1bjj_9,True,True,122,model_5_multimer,0.015,0.7899727821350098
1bjt_1,True,False,793,model_1_multimer,0.221,0.7550216317176819
1bp6_1,True,False,316,model_5_multimer,0.009,0.957889974117279
1br1_20,False,False,820,model_2_multimer,0.049,0.17948976159095764
1bs2_4,False,False,607,model_3_multimer,0.009,0.13113108277320862
1bws_1,True,False,321,model_1_multimer,0.004,0.9352817535400391
1bww_1,True,True,109,model_2_multimer,0.946,0.9027206897735596
1c16_14,False,False,260,model_4_multimer,0.01,0.1345910131931305
1c3g_1,True,False,170,model_3_multimer,0.014,0.3803192377090454
1cd0_1,True,True,111,model_1_multimer,0.888,0.8976121544837952
1cd8_1,True,True,114,model_1_multimer,0.736,0.8807026147842407
1cdt_1,True,True,60,model_4_multimer,0.026,0.6983848810195923
1cp2_1,True,True,269,model_2_multimer,0.621,0.400552362203598
1cx8_2,False,False,639,model_5_multimer,0.004,0.8849596977233887
1cyy_5,False,False,264,model_1_multimer,0.083,0.09235545992851257
1d1t_4,True,True,373,model_5_multimer,0.941,0.9586110711097717
1d5w_2,True,True,126,model_5_multimer,0.953,0.8550540208816528
1dd7_1,True,False,389,model_3_multimer,0.004,0.9362245798110962
1dgk_1,False,False,917,model_1_multimer,0.013,0.19476917386054993
1dov_3,False,False,181,model_3_multimer,0.018,0.28510934114456177
1dp4_1,True,True,435,model_2_multimer,0.888,0.5695965886116028
1dp4_2,True,True,435,model_5_multimer,0.839,0.656043529510498
1dt9_4,False,False,437,model_5_multimer,0.008,0.15665853023529053
1dvr_1,True,True,220,model_2_multimer,0.009,0.4721875488758087
1e0r_2,False,False,159,model_4_multimer,0.532,0.7099977135658264
1e59_1,True,True,249,model_2_multimer,0.952,0.9377058744430542
1e6c_1,False,False,173,model_2_multimer,0.013,0.42371103167533875
1e7n_1,True,True,106,model_3_multimer,0.66,0.836413562297821
1e85_1,True,True,127,model_5_multimer,0.953,0.9240643382072449
1ecx_1,True,False,384,model_3_multimer,0.004,0.9464574456214905
1eeq_1,True,True,114,model_3_multimer,0.726,0.7578743696212769
1eku_1,False,False,265,model_1_multimer,0.244,0.4246651232242584
1eqw_2,True,True,156,model_3_multimer,0.969,0.9170360565185547
1erv_1,True,True,105,model_2_multimer,0.164,0.13317233324050903
1esr_1,True,False,76,model_5_multimer,0.011,0.7561931610107422
1ewj_2,True,True,126,model_1_multimer,0.922,0.8946260213851929
1ex2_1,True,False,189,model_4_multimer,0.009,0.9181762933731079
1f1c_1,True,True,129,model_2_multimer,0.018,0.43234318494796753
1f1g_2,True,True,154,model_4_multimer,0.972,0.9483169913291931
1f1j_5,True,False,305,model_2_multimer,0.01,0.775019645690918
1fcf_6,False,False,388,model_2_multimer,0.006,0.15143299102783203
1fdj_11,False,False,363,model_5_multimer,0.005,0.8489924669265747
1fe0_1,True,True,68,model_3_multimer,0.958,0.8777777552604675
1fp3_2,True,False,402,model_3_multimer,0.958,0.9045586585998535
1fp5_1,True,True,222,model_4_multimer,0.679,0.8178684711456299
1fpq_1,True,False,372,model_3_multimer,0.179,0.9080908894538879
1fr1_1,False,False,361,model_5_multimer,0.053,0.1242150366306305
1fse_3,True,True,74,NA,NA,NA
1fu1_8,False,False,203,model_3_multimer,0.002,0.8051819801330566
1fux_1,True,True,166,model_2_multimer,0.976,0.9463227987289429
1fvp_1,True,True,231,model_5_multimer,0.82,0.8948960304260254
1fzv_1,True,True,132,model_2_multimer,0.861,0.7253801822662354
1g68_1,False,False,271,model_3_multimer,0.345,0.09908168017864227
1g73_7,False,False,162,model_2_multimer,0.007,0.828993558883667
1gam_1,True,True,86,model_3_multimer,0.886,0.8624207377433777
1gan_1,True,True,134,model_5_multimer,0.792,0.9056820869445801
1gcj_1,False,False,460,model_3_multimer,0.024,0.12420635670423508
1ggt_10,False,False,731,model_4_multimer,0.007,0.25480884313583374
1gmz_1,True,True,122,model_1_multimer,0.245,0.40854108333587646
1gxd_4,False,False,631,model_4_multimer,0.006,0.1393115520477295
1gyl_1,False,False,369,model_3_multimer,0.006,0.12275686860084534
1gyo_1,True,True,109,model_3_multimer,0.851,0.7129291296005249
1h0x_1,True,True,100,model_3_multimer,0.905,0.8384195566177368
1h1y_1,True,True,228,model_3_multimer,0.961,0.9441951513290405
1h3i_1,False,False,293,model_1_multimer,0.143,0.11153852194547653
1ha4_1,True,True,87,model_2_multimer,0.824,0.8773542642593384
1hjr_1,True,True,158,model_5_multimer,0.894,0.8379219174385071
1hlc_1,True,True,129,model_4_multimer,0.923,0.8995689153671265
1hq8_1,True,True,123,model_4_multimer,0.192,0.18215332925319672
1hsj_1,False,False,487,model_5_multimer,0.213,0.33079028129577637
1hux_1,True,True,270,model_1_multimer,0.741,0.8554205894470215
1hy3_1,True,True,294,model_1_multimer,0.99,0.8139975666999817
1i49_3,False,False,224,model_5_multimer,0.004,0.862419605255127
1i74_1,True,True,309,model_5_multimer,0.748,0.9047495126724243
1ibd_1,True,True,151,model_5_multimer,0.991,0.9305123686790466
1ici_5,False,False,256,model_4_multimer,0.371,0.10101871937513351
1ii2_1,True,True,524,model_1_multimer,0.866,0.7953751087188721
1iiw_1,True,True,232,model_1_multimer,0.938,0.9283864498138428
1ijy_1,True,False,130,model_3_multimer,0.289,0.5453638434410095
1iqc_1,True,True,308,model_1_multimer,0.936,0.9414647221565247
1is3_1,True,True,135,model_5_multimer,0.957,0.919957160949707
1iug_1,True,True,352,model_1_multimer,0.942,0.9404971599578857
1ivl_1,True,True,107,model_2_multimer,0.06,0.7776539921760559
1ix9_1,True,True,205,model_3_multimer,0.846,0.9493855237960815
1ixq_2,True,True,242,model_4_multimer,0.964,0.9141408205032349
1iyz_1,True,False,302,model_3_multimer,0.007,0.92657870054245
1j1i_1,True,True,296,model_1_multimer,0.606,0.8963406085968018
1j36_3,False,False,607,model_5_multimer,0.01,0.14434276521205902
1j8b_1,True,True,112,model_2_multimer,0.901,0.7635939717292786
1j8f_5,False,False,323,model_3_multimer,0.076,0.1699211299419403
1jbg_1,True,True,109,model_2_multimer,0.86,0.8591946363449097
1jhe_1,True,True,135,model_5_multimer,0.95,0.8747548460960388
1jil_1,True,False,420,model_5_multimer,0.007,0.8804965019226074
