pdb_id,I_QSscore_top,I_QSscore_top_plddt,I_QSscore_top_ptm,I_QSscore_top_pae_inter_chain,I_DockQ_top,Training
1a17_6,0.489057801370708,0.00020111780167859436,0.489057801370708,0.0043898772825072515,0.212,False
1a3a_1,0.3960934153701091,0.39587836885824884,0.39587836885824884,0.36956756789648754,0.242,False
1a7g_1,0.8123758833045905,0.7971664749952112,0.7646431620190938,0.8074353382118102,0.618,False
1ac6_1,0.8833471600388972,0.8653281355367328,0.8653281355367328,0.8625939830672904,0.805,False
1afw_1,0.938838996070586,0.938838996070586,0.936286820263178,0.9211745438394137,0.853,False
1ail_1,0.9328439301195722,0.9268707939707079,0.9268707939707079,0.10449833729519063,0.92,False
1aiz_1,0.42432228698320834,0.2141496482685756,0.2141496482685756,0.2088275818404429,0.146,False
1alu_1,0.0,0.0,0.0,0.0,0.006,False
1aoh_1,0.0,0.0,0.0,0.0,0.046,False
1azt_1,0.0,0.0,0.0,0.0,0.005,False
1azw_1,0.0,0.0,0.0,0.0,0.01,False
1b0w_1,0.968883437802384,0.956007010909721,0.968883437802384,0.9491343950747898,0.951,False
1b23_4,0.0,0.0,0.0,0.0,0.006,False
1b78_1,0.976374280258387,0.9755495003790725,0.9755495003790725,0.9747726860980203,0.932,False
1bgf_1,0.8729076795871553,0.8384459377469415,0.8384459377469415,0.8483622575427046,0.667,False
1bhm_1,0.9445271292137344,0.9274627412859764,0.9445271292137344,0.9415059172070089,0.693,False
1bjj_9,0.0,0.0,0.0,0.0,0.015,False
1bjt_1,0.269323877715257,0.2481201408378359,0.2481201408378359,0.269323877715257,0.212,False
1bp6_1,0.0,0.0,0.0,0.0,0.009,False
1br1_20,0.0003443786401057781,0.0,0.0,0.0,0.004,False
1bs2_4,0.0,0.0,0.0,0.0,0.006,False
1bws_1,0.0,0.0,0.0,0.0,0.004,False
1bww_1,0.9165408072792802,0.9029990825330141,0.9125077889800416,0.9122062331928014,0.827,False
1c16_14,0.11238238463726181,0.10660566278435868,0.11238238463726181,0.10660566278435868,0.039,False
1c3g_1,0.0,0.0,0.0,0.0,0.008,False
1cd0_1,0.9387765766896802,0.937949198218786,0.9138398850810043,0.9116277396047759,0.861,False
1cd8_1,0.9051048004830792,0.9009834438254618,0.9009834438254618,0.9051048004830792,0.795,False
1cdt_1,0.0,0.0,0.0,0.0,0.02,False
1cp2_1,0.8565502743465212,0.8462808442577139,0.6627240179395332,0.6862096289140334,0.625,False
1cx8_2,0.0,0.0,0.0,0.0,0.004,False
1cyy_5,0.01542996949639999,0.009887176872582802,0.009887176872582802,0.01542996949639999,0.042,False
1d1t_4,0.9580193042766262,0.9444041925529977,0.9454769632973467,0.9580193042766262,0.81,False
1d5w_2,0.826821700296794,0.826821700296794,0.826821700296794,0.7104306037379728,0.532,False
1dd7_1,NA,NA,NA,NA,NA,False
1dgk_1,0.0,0.0,0.0,0.0,0.014,False
1dov_3,0.0,0.0,0.0,0.0,0.006,False
1dp4_1,0.9759299309451049,0.9688983873741857,0.9688983873741857,0.9693579441227576,0.929,False
1dp4_2,0.9792685440715446,0.9701431497694837,0.9701431497694837,0.9712577566773144,0.928,False
1dt9_4,0.0,0.0,0.0,0.0,0.008,False
1dvr_1,0.0,0.0,0.0,0.0,0.009,False
1e0r_2,0.11823584216290609,0.0,0.0,0.0,0.113,False
1e59_1,0.9737914036207068,0.9733832927720689,0.9705340281882869,0.9717785032193589,0.925,False
1e6c_1,0.00842407162271286,0.0,0.0,0.003180433461609113,0.042,False
1e7n_1,0.8886888239075039,0.863545496080135,0.863545496080135,0.8853024538508093,0.655,False
1e85_1,0.8153184789947313,0.8120765581920604,0.8120765581920604,0.8150827885408789,0.966,False
1ecx_1,0.0,0.0,0.0,0.0,0.004,False
1eeq_1,0.8218166749468052,0.8144256098753143,0.8218166749468052,0.8204218795308765,0.645,False
1eku_1,0.0,0.0,0.0,0.0,0.011,False
1eqw_2,0.9571343545270222,0.954952412225647,0.9571343545270222,0.9547772580721631,0.904,False
1erv_1,0.11855343893229527,0.020099795926561834,0.11855343893229527,0.020099795926561834,0.102,False
1esr_1,0.06476178065075466,0.0,0.06476178065075466,0.05294408920101095,0.035,False
1ewj_2,0.8922034169218143,0.8850547498213591,0.8850547498213591,0.8903517130480526,0.898,False
1ex2_1,0.0,0.0,0.0,0.0,0.009,False
1f1c_1,0.00019605128243846358,0.0,0.00019605128243846358,0.0,0.022,False
1f1g_2,0.9806020803001299,0.9759666386302241,0.9759666386302241,0.9770332559853113,0.959,False
1f1j_5,0.0,0.0,0.0,0.0,0.01,False
1fcf_6,0.0,0.0,0.0,0.0,0.005,False
1fdj_11,0.0,0.0,0.0,0.0,0.005,False
1fe0_1,0.3039867320465237,0.0,0.3039867320465237,0.003757107668982791,0.104,False
1fp3_2,0.9694911025137134,0.9580544813217037,0.9580544813217037,0.9363668350482895,0.925,False
1fp5_1,0.6256154221644852,0.5863578215628872,0.5863578215628872,0.07570456758006715,0.642,False
1fpq_1,0.4175926468758782,0.41329911639850714,0.40604033321683086,0.4138572693692631,0.182,False
1fr1_1,0.024996905419690775,0.0,0.0,0.0,0.026,False
1fse_3,NA,NA,NA,NA,NA,False
1fu1_8,0.004483002868378037,0.004483002868378037,0.002712523156402594,0.004245077174385506,0.002,False
1fux_1,0.9780264460892268,0.9780264460892268,0.9780264460892268,0.9751338177556578,0.906,False
1fvp_1,0.532968217373145,0.3024876162849155,0.3024876162849155,0.4196882273577689,0.37,False
1fzv_1,0.962917849637424,0.9055789731066424,0.8975572687650573,0.962917849637424,0.873,False
1g68_1,0.262958762052521,0.0,0.0,0.07080242079030143,0.08,False
1g73_7,0.0,0.0,0.0,0.0,0.007,False
1gam_1,0.8965028461493876,0.875915605925568,0.8965028461493876,0.8086024946106577,0.789,False
1gan_1,0.9227591222744462,0.9175296077721338,0.9227591222744462,0.9220405124874991,0.783,False
1gcj_1,0.6279153248500029,0.5386608642628095,0.6279153248500029,0.5978770864073664,0.182,False
1ggt_10,0.0,0.0,0.0,0.0,0.005,False
1gmz_1,0.8182250731530917,0.36293148134335845,0.3814802401677566,0.45058231393435333,0.499,False
1gxd_4,0.04249853657241323,0.0,0.0,0.04249853657241323,0.014,False
1gyl_1,0.0,0.0,0.0,0.0,0.004,False
1gyo_1,0.840056051944453,0.8355451568753509,0.8355451568753509,0.840056051944453,0.643,False
1h0x_1,0.9761347542471734,0.9744173865059707,0.9749574744426102,0.9751558352131461,0.871,False
1h1y_1,0.9767932232943977,0.9767932232943977,0.9705307533591432,0.9755438473364622,0.958,False
1h3i_1,0.0,0.0,0.0,0.0,0.012,False
1ha4_1,0.9346770818616204,0.932302116285348,0.932302116285348,0.8538899877543299,0.875,False
1hjr_1,0.9512495322098408,0.9512495322098408,0.9512495322098408,0.944974566135577,0.873,False
1hlc_1,0.9504683173595558,0.9473624975736871,0.9473624975736871,0.9504683173595558,0.915,False
1hq8_1,0.8616727396695858,0.7383900541894773,0.7383900541894773,0.7288139095294915,0.657,False
1hsj_1,0.6791394918328424,0.6791394918328424,0.5811524163071995,0.6284014251373595,0.285,False
1hux_1,0.899549317103154,0.3614459769413177,0.3614459769413177,0.15409692207930986,0.618,False
1hy3_1,0.5352651856529226,0.4292050650516676,0.5352651856529226,0.4292050650516676,0.274,False
1i49_3,0.0,0.0,0.0,0.0,0.004,False
1i74_1,0.9703737176587854,0.9686002726152527,0.9678666821645611,0.9568885121909666,0.727,False
1ibd_1,0.9661162735523804,0.9654068950290522,0.9650295425540438,0.9661162735523804,0.963,False
1ici_5,0.43764789076138505,0.3852364060782358,0.08065854736540433,0.2884556668539852,0.23,False
1ii2_1,0.9440189782127655,0.9360031293828726,0.9360031293828726,0.9345127267960488,0.882,False
1iiw_1,0.9367918025629477,0.917091060234562,0.917091060234562,0.9085018888555769,0.889,False
1ijy_1,0.0,0.0,0.0,0.0,0.008,False
1iqc_1,0.967898290916755,0.9640124128434221,0.9640124128434221,0.9430462602169837,0.916,False
1is3_1,0.7368832993764541,0.6945254471573726,0.6945254471573726,0.7368832993764541,0.467,False
1iug_1,0.968568133069537,0.9622501725698235,0.968568133069537,0.9603863892658014,0.96,False
1ivl_1,0.10727358770888813,0.09914082321369781,0.09914082321369781,0.10727358770888813,0.068,False
1ix9_1,0.9327761801958608,0.931684317599094,0.931684317599094,0.9252594892819007,0.83,False
1ixq_2,0.9781924597319778,0.9781924597319778,0.9781924597319778,0.9157950510736069,0.945,False
1iyz_1,0.0,0.0,0.0,0.0,0.007,False
1j1i_1,0.9587212595589166,0.9243141484774204,0.7381270584667428,0.937815762273911,0.578,False
1j36_3,0.00673735411243733,0.006445057270566491,0.006591755559169109,0.003444337352017195,0.033,False
1j8b_1,0.966084202318472,0.9574941675700676,0.9186302350996844,0.963792775024631,0.895,False
1j8f_5,0.012753746479752796,0.005718326790641117,0.00418835957337204,0.005718326790641117,0.018,False
1jbg_1,0.908109845697046,0.908109845697046,0.908109845697046,0.8791107841831928,0.821,False
1jhe_1,0.630650136014103,0.6235535021780882,0.6235535021780882,0.630650136014103,0.907,False
1jil_1,0.0,0.0,0.0,0.0,0.007,False
1jm0_2,0.9394198404577249,0.904028153761083,0.904028153761083,0.0075150411427047335,0.881,False
1jog_2,0.9736156900943039,0.9734734083423168,0.9734734083423168,0.9683919250970999,0.912,False
1jqj_9,0.0,0.0,0.0,0.0,0.017,False
1jr9_1,0.9670909668247589,0.9642010226186585,0.9642010226186585,0.951411322160844,0.942,False
1jrk_1,0.9214775714175548,0.9214775714175548,0.9214775714175548,0.9117769387121528,0.829,False
1juh_9,0.8980036838327453,0.8918819163022715,0.8872335535125326,0.8765559572361985,0.737,False
1jye_1,0.0,0.0,0.0,0.0,0.008,False
1jzo_1,0.9643200343991635,0.9485180998572023,0.9485180998572023,0.9642623970393396,0.625,False
1k1y_4,0.0,0.0,0.0,0.0,0.004,False
1k46_1,0.11523833887562661,0.07534096777066716,0.07534096777066716,0.0008894997574286222,0.024,False
1k6i_3,0.7878610401789033,0.5954688908620303,0.7878610401789033,0.0,0.598,False
1k9a_11,NA,NA,NA,NA,NA,False
1kcm_6,0.04146855580187047,0.03493272343640054,0.03390491778398105,0.019185230878751982,0.03,False
1kez_1,0.858134875593226,0.8526764858777098,0.858134875593226,0.8438412136163802,0.538,False
1kho_1,0.046408952488422466,0.015861610780345634,0.0,0.046408952488422466,0.046,False
1khx_2,0.08136345112549485,0.0,0.0,0.0037771235207482243,0.017,False
1kie_1,0.7052552387097211,0.6965603699479616,0.6965603699479616,0.7031916987362584,0.802,False
1kix_3,NA,NA,NA,NA,NA,False
1ks2_1,0.9651671339719605,0.9579142473498604,0.960022251274895,0.9585059609424484,0.836,False
1ktn_1,0.9605070541796336,0.9601492761477618,0.9526744320057329,0.9479378852314295,0.842,False
1ku2_1,0.0015523351317584077,0.0,0.0015523351317584077,0.0,0.015,False
1ku2_4,0.17925061398760944,0.0,0.13261507407831735,0.0,0.043,False
1kut_1,0.9777399845642111,0.9775329784642903,0.9775329784642903,0.9765242181664139,0.889,False
1kvo_2,0.0,0.0,0.0,0.0,0.018,False
1l7c_5,0.0019560062343758075,0.0,0.0,0.0,0.017,False
1lee_3,0.08841626206723563,0.0076986814550011,0.0076986814550011,0.06095522737124471,0.041,False
1lkv_6,0.0,0.0,0.0,0.0,0.01,False
1lvb_5,0.06696948316504922,0.06696948316504922,0.05527398595742733,0.06152533741089133,0.022,False
1lws_4,0.03670311274678189,0.03181578891237517,0.03670311274678189,0.0,0.044,False
1lyn_1,0.11921102731079089,0.09010467757086332,0.09089331779545562,0.02438433174529526,0.06,False
1m08_1,0.36714584340038303,0.36714584340038303,0.36714584340038303,0.0,0.109,False
1m2a_1,0.7010347502889421,0.6938031303688423,0.6938031303688423,0.6584109977665904,0.931,False
1m6b_2,0.0,0.0,0.0,0.0,0.005,False
1m6u_9,0.0,0.0,0.0,0.0,0.008,False
1mft_1,0.9456972110702138,0.9275058285600069,0.9410284107027026,0.9402108343848918,0.893,False
1mi8_1,0.001516512130284597,0.001516512130284597,0.001516512130284597,0.0,0.019,False
1mml_2,0.0409534467535525,0.032064800456097754,0.03844290449816273,0.0409534467535525,0.093,False
1mp9_1,0.9243862978553383,0.864380463954615,0.864380463954615,0.16890827733509073,0.655,False
1mqd_4,0.9684465784509579,0.9257775365361328,0.9545579918307437,0.9684465784509579,0.94,False
1mvh_1,0.0,0.0,0.0,0.0,0.01,False
1my6_1,0.9746564155718996,0.9746564155718996,0.9746564155718996,0.9573188600559512,0.925,False
1my7_1,0.9793988983874714,0.9740774620755231,0.9740774620755231,0.9756933400037034,0.889,False
1n0v_2,0.0042826806378618324,0.0,0.00352688302660265,0.0,0.033,False
1nf7_4,0.0,0.0,0.0,0.0,0.003,False
1nfs_1,0.9765393182462018,0.9746508550385181,0.9746508550385181,0.9765393182462018,0.948,False
1nft_1,0.07419523929470506,0.034488396844965935,0.034488396844965935,0.05718444081955411,0.068,False
1nft_2,0.0,0.0,0.0,0.0,0.006,False
1np6_1,0.8014335558370647,0.7827283489240984,0.7827283489240984,0.786972610714759,0.729,False
1np8_1,0.03669884583142872,0.03669884583142872,0.03669884583142872,0.005762112066024546,0.03,False
1ns5_1,0.9142735484849153,0.88819491868266,0.88819491868266,0.9090990482280998,0.759,False
1nvt_1,0.8754571353642979,0.8663497729071552,0.8663497729071552,0.8520935756592699,0.721,False
1nzi_1,0.8503499764065895,0.8503499764065895,0.8503499764065895,0.10324137637370674,0.638,False
1o12_1,NA,NA,NA,NA,NA,False
1o64_1,0.9342529746436159,0.9342529746436159,0.9342529746436159,0.8280061669335815,0.886,False
1o6d_2,0.8362582409331035,0.8362582409331035,0.8009462062243266,0.8323428411005567,0.949,False
1o92_2,0.0,0.0,0.0,0.0,0.007,False
1obb_1,0.9751476587649546,0.9751476587649546,0.8840511772089755,0.9563268085483716,0.896,False
1ohq_1,0.6260647273931793,0.5570103240227833,0.6260647273931793,0.048523263718764344,0.539,False
1okj_1,0.8965488466436301,0.8965488466436301,0.8965488466436301,0.6455282175096293,0.538,False
1or3_7,0.013719522844497435,0.0,0.0,0.0,0.054,False
1ors_10,0.0,0.0,0.0,0.0,0.021,False
1ov4_1,0.0,0.0,0.0,0.0,0.005,False
1ovn_1,0.848745359575385,0.848745359575385,0.848745359575385,0.8474560829177259,0.815,False
1oya_1,0.9679995565821938,0.958787169590582,0.9611456073509046,0.9679995565821938,0.901,False
1p35_11,0.009507454983054189,0.00041804704805347673,0.0,0.0,0.021,False
1p8l_1,0.0,0.0,0.0,0.0,0.009,False
1pcz_1,0.8674039913010287,0.6382337635120677,0.6382337635120677,0.20418966443613462,0.634,False
1pd5_26,0.0,0.0,0.0,0.0,0.01,False
1poe_1,0.0,0.0,0.0,0.0,0.015,False
1pp3_2,0.0,0.0,0.0,0.0,0.014,False
1prx_1,0.846406957587549,0.8353294532228842,0.8353294532228842,0.8413820574994466,0.702,False
1psa_1,0.07086395396837729,0.03958731061988393,0.03958731061988393,0.013833773566345707,0.029,False
1psq_1,0.9632701708448647,0.9620305205971347,0.9620305205971347,0.9632701708448647,0.92,False
1pxv_1,0.002562241840210301,0.002562241840210301,0.0016110615535462802,0.0,0.015,False
1q1e_2,NA,NA,NA,NA,NA,False
1q1n_1,0.8422532674611138,0.5973953097867467,0.59968771853094,0.6019765040408294,0.713,False
1q4j_1,0.0012663654663688068,0.0,0.0012663654663688068,0.0,0.014,False
1q7s_3,0.8518845978001219,0.8493440580192704,0.8493440580192704,0.8507075642226803,0.688,False
1q98_1,0.8962303131750808,0.8962303131750808,0.8962303131750808,0.8957891199136523,0.675,False
1qex_1,0.1387529772804214,0.0395194823841876,0.0395194823841876,0.1387529772804214,0.011,False
1qex_6,0.18093317678168816,0.12997790481080987,0.12997790481080987,0.18093317678168816,0.093,False
1qg7_1,0.16365490553102352,0.16365490553102352,0.16365490553102352,0.0,0.066,False
1qhm_4,0.0,0.0,0.0,0.0,0.003,False
1qhq_3,0.23786605607814956,0.11440513084449157,0.11440513084449157,0.23786605607814956,0.132,False
1qkd_1,0.0,0.0,0.0,0.0,0.015,False
1qmj_1,0.9539682049016472,0.9454417675921233,0.9454417675921233,0.9411984396871427,0.925,False
1qpg_1,0.00868031855895519,0.0,0.0,0.0022115723817350036,0.039,False
1qq7_1,0.9421458620155257,0.9237361017641682,0.9281184304683773,0.923282191184884,0.85,False
1qrd_1,0.0,0.0,0.0,0.0,0.007,False
1qto_1,0.9781224026530433,0.9781224026530433,0.9781224026530433,0.9685284395163779,0.959,False
1qvt_19,0.0,0.0,0.0,0.0,0.009,False
1qvw_1,0.2789859402043113,0.001356661527552797,0.001356661527552797,0.2789859402043113,0.063,False
1qxh_1,0.8768919223034449,0.8741801550892205,0.8741801550892205,0.8768919223034449,0.654,False
1qya_1,0.9433654816127987,0.9427606425133234,0.9428702328451156,0.9433654816127987,0.917,False
1r5q_2,0.9598027484133795,0.9573536189095873,0.9573536189095873,0.9598027484133795,0.776,False
1r7j_1,0.9432853007949289,0.9411813701276596,0.9411813701276596,0.9297791381123881,0.895,False
1rcw_2,0.9793440516502585,0.9778040264900142,0.9778040264900142,0.9780412140377382,0.91,False
1rfy_1,0.9075792203615681,0.8992690062460755,0.8942928657283015,0.9052019391836905,0.832,False
1rk4_1,0.012063880067621147,0.0,0.012063880067621147,0.0,0.022,False
1rkr_5,0.3384841660401335,0.2294025684822827,0.2294025684822827,0.3384841660401335,0.136,False
1rp5_3,0.0,0.0,0.0,0.0,0.006,False
1rpa_1,0.9668080250864478,0.9668080250864478,0.9650284962955833,0.9652653469153458,0.939,False
1rtv_1,0.0,0.0,0.0,0.0,0.014,False
1rz6_2,0.821359789207924,0.8098014538099033,0.821359789207924,0.7825908571402599,0.594,False
1s9c_6,0.9677672529676388,0.965470073403686,0.9672155393024942,0.9612608123951433,0.932,False
