pdb,F_I-sc,F_dG-cross/dSASAx100,F_dG-separated/dSASAx100,F_dSASA-polar,F_fa-dun,F_fa-intra-rep,F_fa-intra-sol-xover4,F_sc-value
1a17_6,-66.851,-2.093,-1.195,1845.397,951.232,4.204,74.336,0.682
1a3a_1,-31.031,-1.93,-1.524,823.724,614.585,3.264,66.741,0.55
1a7g_1,-43.905,-2.641,-1.46,597.538,388.706,2.678,34.576,0.769
1ac6_1,-19.565,-1.744,67.43,531.626,751.19,2.558,39.465,0.612
1afw_1,-146.993,-3.327,-2.948,2000.509,2702.644,15.487,158.421,0.679
1ail_1,-46.141,-2.364,-2.101,561.176,412.942,1.754,34.974,0.622
1aiz_1,22.677,-1.655,55.154,209.005,709.361,2.86,47.798,0.637
1alu_1,234.41,-0.529,77.867,1050.834,1112.16,4.448,62.396,0.461
1aoh_1,-24.045,-1.663,-0.857,563.286,536.903,3.416,52.796,0.612
1azt_1,-18.032,-0.782,-0.327,1115.083,1690.41,8.008,155.142,0.511
1azw_1,1.738,-1.126,0.059,430.533,2038.3,7.987,138.112,0.655
1b0w_1,-28.371,-2.639,42.315,420.093,635.393,2.851,39.973,0.677
1b23_4,-9.294,-1.391,-0.291,1016.502,2354.727,10.038,158.529,0.43
1b78_1,-57.959,-3.502,-3.042,571.445,1736.309,6.658,94.182,0.741
1bgf_1,-64.808,-2.855,-1.843,835.471,628.905,3.598,64.425,0.669
1bhm_1,-26.819,-1.694,-1.327,1045.682,1581.431,8.53,87.073,0.569
1bjj_9,0.616,-0.282,631.062,210.151,1181.087,4.353,61.992,0.753
1bjt_1,61.661,-2.387,-1.392,1759.906,4082.838,19.38,320.843,0.637
1bp6_1,-14.732,-0.959,-0.286,811.085,2026.468,8.841,157.549,0.436
1br1_20,74072.625,1026.927,1197.909,595.827,20580.426,1754.34,600.603,0.0
1bs2_4,170.289,-0.878,1.478,931.778,3356.045,18.027,287.92,0.68
1bws_1,5.622,-0.968,0.186,510.074,2235.814,10.721,131.09,0.608
1bww_1,-38.87,-2.808,21.865,498.193,625.411,2.547,38.007,0.656
1c16_14,44.007,0.413,112.826,850.121,1702.332,8.651,113.125,0.608
1c3g_1,-6.875,-0.782,-0.327,658.668,1331.039,6.411,75.835,0.384
1cd0_1,-30.364,-2.024,21.746,715.762,406.192,2.478,46.956,0.699
1cd8_1,-43.141,-2.036,3.909,593.295,651.172,2.427,44.904,0.697
1cdt_1,-7.139,-1.642,89.422,464.39,663.043,1.76,21.283,0.666
1cp2_1,-27.129,-1.985,-1.43,741.848,1526.134,6.662,105.119,0.618
1cx8_2,108.455,-1.126,31.195,3000.506,4431.408,20.65,294.296,0.609
1cyy_5,86.282,-0.872,0.374,1337.011,1210.823,6.165,97.697,0.449
1d1t_4,-90.077,-2.442,-2.242,1108.693,1573.848,8.358,124.325,0.761
1d5w_2,-32.527,-2.97,-2.773,267.671,506.7,3.196,49.203,0.702
1dd7_1,-25.792,-1.664,-1.107,665.899,1808.892,7.976,151.595,0.6
1dgk_1,-31.213,-2.251,-1.506,1110.853,5001.475,23.364,375.44,0.708
1dov_3,-33.452,-2.019,-1.716,1053.53,861.266,5.739,76.996,0.441
1dp4_1,1851.938,-2.907,241.432,335.887,1736.854,10.145,174.422,0.76
1dp4_2,1798.73,-3.373,192.281,355.542,1677.039,9.822,168.212,0.753
1dt9_4,45.228,-0.434,0.536,1581.733,3582.336,16.232,191.371,0.662
1dvr_1,12.528,-0.654,1.804,1058.71,1395.91,5.884,94.143,0.468
1e0r_2,-25.857,-2.049,-1.367,866.448,957.639,3.858,62.548,0.643
1e59_1,-48.469,-2.861,-2.546,654.16,1032.308,6.103,110.496,0.622
1e6c_1,-100.791,-3.441,-3.112,860.883,958.744,4.109,58.078,0.725
1e7n_1,-33.998,-2.711,-2.488,967.774,414.066,2.096,38.672,0.591
1e85_1,782.68,58.965,59.436,359.722,412.679,2.722,48.16,0.787
1ecx_1,18.11,-1.415,-0.573,366.242,1621.856,10.556,157.774,0.668
1eeq_1,-22.835,-2.599,7.862,576.502,387.948,2.581,42.281,0.658
1eku_1,-27.915,-1.472,-0.308,1497.913,1945.699,8.734,146.107,0.52
1eqw_2,-12.369,-1.899,63.053,427.516,592.567,2.908,49.988,0.612
1erv_1,-8.36,-1.577,-1.061,462.782,524.73,2.823,41.806,0.655
1esr_1,843.954,48.408,120.324,727.085,697.567,4.035,38.19,0.611
1ewj_2,-49.009,-2.086,-0.68,1282.393,1145.834,3.658,48.134,0.641
1ex2_1,-20.55,-2.546,50.226,666.82,839.194,4.609,83.835,0.738
1f1c_1,59.381,-1.197,0.196,332.384,614.109,3.389,55.33,0.647
1f1g_2,-40.588,-3.56,35.599,488.879,631.327,2.977,57.924,0.74
1f1j_5,-16.414,0.0,0.0,0.0,1328.469,5.844,107.162,0.0
1fcf_6,55.91,-0.444,25.585,1041.512,3268.019,14.573,142.942,0.505
1fdj_11,-5.93,-0.604,-0.194,990.1,2040.471,9.163,150.728,0.65
1fe0_1,-13.653,-1.804,-0.749,494.652,204.949,1.374,22.485,0.659
1fp3_2,-76.717,-3.202,-2.079,830.237,3612.561,14.689,210.791,0.694
1fp5_1,-26.151,-1.959,142.409,773.71,1032.777,5.189,76.269,0.6
1fpq_1,-75.88,-2.339,-1.382,2067.601,1601.378,8.424,127.617,0.679
1fr1_1,-5.889,-1.42,-0.516,1283.951,2575.915,9.328,143.645,0.521
1fse_3,-3.884,-1.69,-1.392,512.954,577.511,2.51,31.471,0.453
1fu1_8,71.731,-0.755,0.423,736.958,1422.642,5.712,106.081,0.622
1fux_1,-32.647,-2.012,32.443,746.037,820.748,3.384,52.649,0.745
1fvp_1,0.656,-1.26,-0.304,999.886,2703.488,6.805,120.554,0.545
1fzv_1,469.689,-2.955,23.058,887.353,496.592,2.526,38.951,0.753
1g68_1,-36.562,-1.834,25.922,943.463,889.764,5.673,98.815,0.659
1g73_7,354.268,-1.48,-0.523,1036.25,1026.046,4.737,75.386,0.667
1gam_1,-7.222,-1.407,-0.695,645.589,756.223,2.817,37.414,0.654
1gan_1,-9.312,-3.37,-2.958,498.26,797.731,3.165,46.847,0.664
1gcj_1,-9.611,-1.079,0.171,1153.815,2541.479,12.304,202.955,0.55
1ggt_10,-12.044,-0.95,0.409,960.726,5932.47,22.676,342.581,0.519
1gmz_1,-19.709,-1.916,299.467,382.204,660.48,4.119,45.363,0.582
1gxd_4,112.517,0.277,321.068,875.544,5584.218,30.022,308.305,0.61
1gyl_1,413.082,11.524,17.583,1519.864,4172.58,13.696,155.893,0.648
1gyo_1,583.949,-3.366,-2.827,485.878,486.306,2.062,46.129,0.839
1h0x_1,-3.251,-1.916,-1.309,567.287,567.943,3.021,34.238,0.634
1h1y_1,-48.679,-2.861,-2.273,749.486,784.595,4.734,82.953,0.762
1h3i_1,235.514,-2.076,-1.585,986.541,1904.048,8.319,114.184,0.58
1ha4_1,37.661,-2.288,-1.713,585.222,464.382,2.813,39.664,0.407
1hjr_1,-27.389,-2.3,-0.709,585.492,1763.978,4.78,63.68,0.649
1hlc_1,-28.833,-2.489,-1.853,627.305,938.472,3.065,58.437,0.607
1hq8_1,-53.175,-3.106,55.724,887.648,537.592,2.877,48.06,0.719
1hsj_1,37.0,-2.205,-1.235,1631.303,3201.156,17.029,245.745,0.609
1hux_1,-22.913,-2.357,-2.311,388.993,1442.173,7.588,90.471,0.741
1hy3_1,-24.438,-4.083,-3.12,308.735,1283.008,7.461,147.738,0.711
1i49_3,-16.216,-1.244,-1.118,732.409,1483.241,5.929,90.121,0.437
1i74_1,-44.381,-2.861,-1.965,701.517,1569.749,8.535,132.922,0.727
1ibd_1,-9.334,-1.663,36.362,324.041,603.292,2.882,54.181,0.574
1ici_5,158.733,-0.579,0.849,1072.029,1225.679,6.161,106.224,0.537
1ii2_1,-28.95,-2.925,-2.505,302.325,1758.098,11.618,203.587,0.695
1iiw_1,-43.314,-2.026,-1.318,954.488,1073.237,5.587,77.232,0.676
1ijy_1,-27.573,-3.079,192.877,430.209,490.309,2.759,58.01,0.596
1iqc_1,-96.487,-2.553,-1.907,1314.844,1263.262,6.991,140.248,0.698
1is3_1,-48.906,-3.384,-3.078,661.433,650.7,2.948,57.478,0.693
1iug_1,-61.235,-1.891,-0.657,1102.304,2076.714,9.629,141.086,0.668
1ivl_1,-27.081,-2.461,74.198,466.181,743.359,2.765,36.239,0.689
1ix9_1,-32.178,-2.223,-1.427,642.106,702.334,4.164,86.807,0.61
1ixq_2,-27.981,-2.29,-0.432,825.439,1446.606,6.339,103.603,0.713
1iyz_1,-12.937,-2.12,-1.607,262.684,1274.312,7.361,98.516,0.627
1j1i_1,-52.493,-2.639,-2.057,907.055,1178.833,6.812,116.36,0.543
1j36_3,28.366,-0.788,86.584,1160.021,3989.118,18.675,314.475,0.456
1j8b_1,930.175,-3.225,0.978,625.097,590.039,2.367,43.669,0.719
1j8f_5,-16.044,-1.935,-0.85,1331.937,1528.788,9.757,142.458,0.658
1jbg_1,-11.319,-1.936,-1.219,618.822,1005.914,4.2,54.838,0.683
1jhe_1,-12.264,-1.369,-0.082,644.885,665.865,3.379,55.475,0.576
1jil_1,-20.497,-1.541,-0.845,1483.187,1889.706,9.145,158.951,0.503
1jm0_2,-47.528,-3.226,-2.235,475.417,323.944,1.591,24.75,0.629
1jog_2,71.895,-0.029,0.907,546.808,1290.12,5.825,70.147,0.626
1jqj_9,19.434,-1.19,0.152,1299.68,2753.482,12.656,153.071,0.529
1jr9_1,64.355,0.323,0.691,568.2,1476.787,6.387,96.084,0.56
1jrk_1,-63.18,-2.556,-1.482,1092.824,856.124,5.209,62.428,0.58
1juh_9,-80.088,-2.251,-1.713,1710.766,1044.252,6.836,125.585,0.667
1jye_1,71.363,-0.888,-0.335,673.306,878.588,6.407,98.402,0.645
1jzo_1,-52.624,-3.673,29.9,646.031,780.567,4.747,86.289,0.723
1k1y_4,-26.325,-1.047,-0.819,1685.831,3743.979,18.87,316.664,0.486
1k46_1,205.99,3.116,4.171,2058.825,561.571,3.045,51.147,0.75
1k6i_3,-5.216,-1.301,0.005,964.473,1447.982,7.998,130.224,0.512
1k9a_11,29.792,-1.688,29.32,1212.91,2354.312,12.406,177.578,0.692
1kcm_6,109.965,-1.864,2.643,1087.779,1481.76,7.12,123.314,0.491
1kez_1,0.245,-1.783,-0.332,496.016,1689.39,5.615,105.593,0.537
1kho_1,-33.346,-1.914,-1.484,1210.923,1767.616,8.433,170.999,0.677
1khx_2,22.993,0.727,1.28,831.366,1075.494,5.513,81.373,0.525
1kie_1,-16.996,-1.116,2.21,797.555,1308.377,8.663,134.113,0.69
1kix_3,-110.609,-1.953,-1.252,3423.336,2149.382,11.84,206.528,0.639
1ks2_1,11.028,-1.157,-0.837,1037.477,721.265,5.085,70.818,0.563
1ktn_1,-28.806,-2.447,-2.264,411.822,814.864,5.364,92.185,0.706
1ku2_1,68.994,-0.935,0.081,2049.723,1638.627,7.848,119.342,0.603
1ku2_4,-7.592,-2.212,-1.519,848.128,1651.624,7.825,119.347,0.622
1kut_1,264.963,-2.325,-1.471,517.419,1470.618,7.327,97.598,0.69
1kvo_2,-11.712,-1.161,573.727,329.043,709.011,2.795,54.415,0.576
1l7c_5,-48.512,-2.151,-1.665,964.246,1166.94,6.0,95.386,0.714
1lee_3,10.366,-0.927,30.039,1140.014,1900.337,9.325,133.835,0.568
1lkv_6,-25.302,-1.439,-0.309,786.549,1989.835,6.25,107.397,0.615
1lvb_5,-53.951,0.0,0.0,0.0,1215.935,6.068,92.354,0.0
1lws_4,53.69,-0.402,1.665,1408.99,4182.035,18.469,202.779,0.554
1lyn_1,1.095,-1.237,-0.395,517.014,1204.399,5.078,55.967,0.603
1m08_1,-0.116,-1.066,-0.479,562.921,696.943,3.32,68.262,0.46
1m2a_1,-33.322,-3.158,-2.427,312.626,469.691,2.735,38.934,0.811
1m6b_2,-26.872,-1.094,353.102,1370.556,5396.653,12.899,225.387,0.526
1m6u_9,71.201,-1.633,-0.523,1264.999,1460.422,7.499,123.256,0.692
1mft_1,-38.054,-1.397,-0.231,494.74,451.109,1.971,33.029,0.671
1mi8_1,-33.986,-2.915,-1.694,480.107,896.565,4.058,53.986,0.656
1mml_2,-34.159,-1.88,-1.27,1604.081,1716.311,7.95,104.272,0.642
1mp9_1,-51.34,-1.99,-1.124,1002.802,802.211,5.142,76.27,0.643
1mqd_4,-43.46,-2.293,29.798,735.474,955.943,6.261,101.214,0.778
1mvh_1,186.656,7.369,8.431,1006.377,1455.018,6.794,119.592,0.714
1my6_1,-31.81,-2.312,-1.426,596.796,900.561,4.255,84.433,0.721
1my7_1,-38.066,-2.834,-1.899,520.136,423.22,2.394,42.985,0.764
1n0v_2,-9.742,-1.462,-0.551,1645.774,4433.572,24.283,322.61,0.518
1nf7_4,14.575,0.288,1.269,317.854,3163.455,14.656,198.17,0.563
1nfs_1,-40.723,-2.622,-2.395,423.312,952.241,4.509,74.718,0.731
1nft_1,-29.412,-1.651,160.595,866.785,1968.544,7.601,138.19,0.454
1nft_2,-33.311,-1.792,138.785,790.518,1968.657,7.601,138.189,0.494
1np6_1,-140.971,-3.517,-3.21,2038.597,1115.308,3.345,70.057,0.66
1np8_1,-0.761,-1.609,0.965,763.821,778.444,4.351,74.856,0.63
1ns5_1,-53.949,-2.678,-2.262,676.866,740.263,3.706,65.437,0.691
1nvt_1,-78.837,-2.635,-2.221,917.434,1440.667,8.301,121.749,0.673
1nzi_1,-39.303,-2.658,61.393,676.713,641.308,3.449,73.036,0.668
1o12_1,-48.59,-2.612,-2.083,711.375,2095.144,10.75,156.375,0.591
1o64_1,-58.585,-3.16,44.172,719.596,1130.179,5.327,82.499,0.75
1o6d_2,-43.182,-3.122,-2.438,890.668,810.087,4.267,62.69,0.748
1o92_2,23.027,-0.66,0.117,1023.761,2371.644,11.399,141.607,0.582
1obb_1,-69.201,-2.122,-1.829,1728.605,2202.146,12.803,223.213,0.615
1ohq_1,-48.456,-2.923,37.724,509.772,640.099,2.239,38.296,0.757
1okj_1,-31.642,-2.356,33.659,739.33,1027.357,5.499,87.217,0.648
1or3_7,1024.191,54.49,55.808,805.543,1197.4,4.045,60.481,0.465
1ors_10,219.282,4.878,5.432,423.16,663.399,5.519,54.508,0.674
1ov4_1,-37.616,-5.078,-4.913,302.701,1449.758,8.114,129.56,0.833
1ovn_1,-33.235,-1.915,14.811,772.149,1093.154,8.216,97.332,0.659
1oya_1,-38.431,-2.661,-2.222,544.277,2246.809,9.823,193.519,0.591
1p35_11,-32.422,-1.198,0.325,1298.112,1794.631,8.407,135.298,0.58
1p8l_1,24.244,-0.543,0.085,1423.077,2781.892,7.669,115.577,0.45
1pcz_1,-23.708,-2.008,17.168,1183.867,1183.504,6.306,83.046,0.618
1pd5_26,43.774,0.07,1.876,1150.151,1893.962,8.524,103.283,0.574
1poe_1,-8.565,0.304,582.004,346.422,1438.093,4.772,56.475,0.712
1pp3_2,-1.662,-0.563,188.509,949.743,701.329,4.188,71.579,0.54
1prx_1,-122.224,-3.24,-2.573,1646.067,1364.546,5.622,93.21,0.728
1psa_1,11.587,-0.388,81.03,1277.3,2108.161,6.932,105.24,0.614
1psq_1,-19.434,-1.432,0.739,503.367,869.75,4.436,65.339,0.662
1pxv_1,15.608,-0.871,-0.28,1008.017,801.521,4.114,81.758,0.641
1q1e_2,32.335,-0.636,2.549,958.424,2554.558,11.997,146.051,0.697
1q1n_1,-29.932,-1.316,-0.325,632.396,2100.949,11.248,136.715,0.768
1q4j_1,-22.35,-1.523,-1.102,502.107,1275.077,5.552,104.752,0.601
1q7s_3,-15.313,-2.683,-1.768,794.121,571.473,2.875,46.747,0.709
1q98_1,-41.445,-2.597,34.921,526.049,768.792,3.97,65.613,0.695
1qex_1,-4.49,-3.039,-2.696,1013.049,1194.713,7.658,101.102,0.738
1qex_6,17.65,-0.79,-0.025,1040.762,1240.778,7.693,101.107,0.444
1qg7_1,-53.559,-3.067,44.935,873.916,568.901,3.108,30.731,0.698
1qhm_4,268.444,-1.211,-0.672,1208.572,3722.691,19.159,275.847,0.598
1qhq_3,-23.226,-2.511,-2.391,342.349,419.038,2.567,44.462,0.59
1qkd_1,-11.459,-2.711,162.132,350.743,443.52,1.626,29.336,0.597
1qmj_1,-34.578,-3.4,-2.71,592.585,744.89,2.945,55.413,0.651
1qpg_1,-14.942,-1.158,-0.452,1323.381,2178.19,11.317,162.513,0.322
1qq7_1,-41.373,-2.774,-1.412,1455.229,800.987,5.566,97.427,0.711
1qrd_1,-12.121,-1.205,-0.4,449.921,1841.039,6.575,113.471,0.634
1qto_1,-124.744,-4.062,-3.459,1017.126,577.62,2.629,47.861,0.717
1qvt_19,-3.615,-1.102,0.884,341.859,1509.704,6.563,105.07,0.683
1qvw_1,-28.973,-2.638,-2.368,598.512,893.797,5.562,94.934,0.656
1qxh_1,-28.269,-2.523,57.735,514.822,597.079,4.118,62.313,0.586
1qya_1,-54.138,-2.185,-1.612,696.988,1426.801,5.746,106.845,0.743
1r5q_2,-1.602,-2.606,-1.642,570.888,482.714,2.817,45.473,0.661
1r7j_1,57.743,-3.806,-3.213,304.998,299.666,2.147,38.901,0.713
1rcw_2,-42.363,-2.652,-0.647,856.484,1538.839,4.914,95.645,0.688
1rfy_1,-74.555,-3.499,-3.383,456.066,278.309,2.173,35.412,0.658
1rk4_1,-61.174,-2.945,5.486,742.895,1012.193,4.675,90.912,0.689
1rkr_5,0.382,-0.124,66.77,170.791,854.702,2.668,53.912,0.468
1rp5_3,-11.793,-0.827,2.183,2289.095,3607.616,48.906,282.565,0.66
1rpa_1,-22.286,-2.122,58.05,892.181,3337.919,11.867,177.603,0.669
